gene_id,class,description,hrde-1 input,wago-1 input,HRDE-1 IP,WAGO-1 IP,HRDE-1 IP/input,WAGO-1 IP/input,IP Enrichment,Input,Suggested Match,History
ZC53.7,wago,rgs-9,36.22,118.88,139.94,41.6,3.86,0.35,HRDE-1,ZC53.7,WBGene00004352,"Sequence name for WBGene00004352(rgs-9). History: N.A.. Public name for Dead gene WBGene00022513. History of WBGene00022513: Merged into ""WBGene00004352"" on 2004-12-03"
F59H6.12,wago,btb-4,8.39,24.84,32.22,13.83,3.84,0.56,HRDE-1,F59H6.12,WBGene00019142,Sequence name for WBGene00019142(btb-4). History: N.A.
C50E3.12,wago,,85.47,281.39,315.71,80.84,3.69,0.29,HRDE-1,C50E3.12,WBGene00016823,Public name for WBGene00016823. History: N.A.
C29G2.1,wago,,47.34,145.51,167.02,43.46,3.53,0.3,HRDE-1,C29G2.1,WBGene00016230,"Public name for Dead gene WBGene00016229. History of WBGene00016229: Merged into ""WBGene00016230"" on 2015-09-09"
C15B12.7,wago,cdf-1,16.83,53.55,57.92,53.51,3.44,1.0,HRDE-1,C15B12.7,WBGene00000393,Sequence name for WBGene00000393(cdf-1). History: N.A.
H39E20.1,wago,,9.93,27.07,34.16,7.04,3.44,0.26,HRDE-1,H39E20.1,WBGene00019267,Public name for WBGene00019267. History: N.A.
Y73B6BL.288,wago,,12.13,35.72,40.53,14.85,3.34,0.42,HRDE-1,Y73B6BL.288,WBGene00219218,Public name for WBGene00219218. History: N.A.
ZK930.6,wago,,38.06,108.07,121.83,33.96,3.2,0.31,HRDE-1,ZK930.6,WBGene00014156,Public name for WBGene00014156. History: N.A.
C54H2.3,wago,tag-294,26.79,78.05,85.18,83.05,3.18,1.06,HRDE-1,C54H2.3,WBGene00016937,Sequence name for WBGene00016937(tag-294). History: N.A.
C16C4.18,wago,,9.84,31.55,31.02,43.49,3.15,1.38,HRDE-1/WAGO-1,C16C4.18,WBGene00194998,Public name for WBGene00194998. History: N.A.
F48G7.11,wago,nhr-190,5.65,14.06,17.7,19.6,3.13,1.39,HRDE-1/WAGO-1,F48G7.11,WBGene00018622,Sequence name for WBGene00018622(nhr-190). History: N.A.
F14H3.4,wago,,10.76,29.09,33.54,9.18,3.12,0.32,HRDE-1,F14H3.4,WBGene00008823,Public name for WBGene00008823. History: N.A.
