# Note: In the following rows commas have been replaced with semicolons to work better with r
# Pseudogenes (Ensembl 2018; D. R. Zerbino et al.; 2018)
chr,start,end,name,score,strand,Input,Suggested Match,History
chrI,9692650,9693772,C04F12.6,1,-,C04F12.6,WBGene00007300,Public name for WBGene00007300. History: N.A.
chrI,9407166,9408275,C17E4.12,2,-,C17E4.12,WBGene00044769,Public name for WBGene00044769. History: N.A.
chrI,13117617,13120313,C17H1.1,3,-,C17H1.1,WBGene00007654,Public name for WBGene00007654. History: N.A.
chrI,13127140,13127865,C17H1.12,4,+,C17H1.12,WBGene00044722,Public name for WBGene00044722. History: N.A.
chrI,10175308,10175451,C25A1.17,5,-,C25A1.17,WBGene00077527,Public name for WBGene00077527. History: N.A.
chrI,11433110,11433412,C27C7.2,6,-,C27C7.2,WBGene00007767,Public name for WBGene00007767. History: N.A.
chrI,12458017,12458986,C54C8.8,7,+,C54C8.8,WBGene00014714,Public name for WBGene00014714. History: N.A.
chrI,2629686,2632322,cars-2,8,+,cars-2,WBGene00000801,Public name for WBGene00000801. History: Renamed on 2010-01-29
chrI,2629686,2632322,cars-2,9,+,cars-2,WBGene00000801,Public name for WBGene00000801. History: Renamed on 2010-01-29
chrI,12637015,12638408,clec-14,10,+,clec-14,WBGene00010400,Public name for WBGene00010400. History: N.A.
chrI,12629298,12630691,clec-16,11,-,clec-16,WBGene00011585,Public name for WBGene00011585. History: N.A.
chrI,11559436,11560556,col-66,12,+,col-66,WBGene00000642,Public name for WBGene00000642. History: N.A.
chrI,12427377,12429084,E03H4.9,13,+,E03H4.9,WBGene00014729,Public name for WBGene00014729. History: N.A.
chrI,8433175,8434066,F02E9.8,14,+,F02E9.8,WBGene00014731,Public name for WBGene00014731. History: N.A.
chrI,11687801,11688513,F11A6.3,15,+,F11A6.3,WBGene00077549,Public name for WBGene00077549. History: N.A.
chrI,12160090,12162082,F15H9.7,16,+,F15H9.7,WBGene00077535,Public name for WBGene00077535. History: N.A.
chrI,12155527,12156382,F15H9.8,17,-,F15H9.8,WBGene00194652,Public name for WBGene00194652. History: N.A.
chrI,7103810,7104135,F22D6.17,18,-,F22D6.17,WBGene00077767,Public name for WBGene00077767. History: N.A.
chrI,2446764,2448347,F23C8.1,19,+,F23C8.1,WBGene00017731,Public name for WBGene00017731. History: N.A.
chrI,2440206,2441171,F23C8.10,20,-,F23C8.10,WBGene00023274,Public name for WBGene00023274. History: N.A.
chrI,2449415,2450685,F23C8.11,21,-,F23C8.11,WBGene00017739,Public name for WBGene00017739. History: N.A.
chrI,2445421,2445985,F23C8.2,22,+,F23C8.2,WBGene00023273,Public name for WBGene00023273. History: N.A.
chrI,7722079,7723112,F27D4.3,23,+,F27D4.3,WBGene00014746,Public name for WBGene00014746. History: N.A.
chrI,12691307,12691752,F28C12.6,24,+,F28C12.6,WBGene00009210,Public name for WBGene00009210. History: N.A.
chrI,12698893,12699190,F28C12.8,25,+,F28C12.8,WBGene00077555,Public name for WBGene00077555. History: N.A.
chrI,12583775,12585109,F33E2.8,26,+,F33E2.8,WBGene00045254,Public name for WBGene00045254. History: N.A.
chrI,11719892,11722927,F35E2.10,27,-,F35E2.10,WBGene00044270,Public name for WBGene00044270. History: N.A.
