gene_id,description,wt rep 1,wt rep 2,wt rep 3,henn-1 rep 1,henn-1 rep 2,henn-1 rep 3,fold_change*,pvalue_adj,Direction of change,Predicted piRNA targets,CLASH counts,Input,Suggested Match,History
M01E11.7,tns-1,348.31,364.76,337.47,724.67,800.6,764.7,2.18,2.97e-50,upregulated,40,2,M01E11.7,WBGene00006508,Sequence name for WBGene00006508(tns-1). History: Renamed on 2015-11-05
F28F8.7,Coding_gene,155.55,144.5,137.18,354.86,361.82,334.42,2.4,7.87e-39,upregulated,14,23,F28F8.7,WBGene00009224,Public name for WBGene00009224. History: N.A.
C07G3.9,ugt-64,338.32,295.25,263.55,637.27,629.68,640.02,2.12,6.95e-31,upregulated,16,12,C07G3.9,WBGene00015577,Sequence name for WBGene00015577(ugt-64). History: N.A.
F30B5.4,Coding_gene,574.56,583.36,621.07,1038.32,1072.51,914.86,1.7,1.3399999999999999e-25,upregulated,12,14,F30B5.4,WBGene00017934,Public name for WBGene00017934. History: N.A.
Y55F3AM.11,Coding_gene,231.38,231.03,178.22,585.83,670.72,559.3,2.83,1.36e-24,upregulated,14,2,Y55F3AM.11,WBGene00021928,Public name for WBGene00021928. History: N.A.
M04F3.3,Coding_gene,298.46,329.15,280.83,553.28,610.24,604.46,1.94,7.87e-24,upregulated,20,4,M04F3.3,WBGene00019769,Sequence name for WBGene00019769(kin-35). History: N.A.
C27C7.1,Coding_gene,221.66,183.75,225.74,516.54,474.15,559.3,2.46,5.53e-23,upregulated,4,48,C27C7.1,WBGene00007766,Public name for WBGene00007766. History: N.A.
C34G6.4,pgp-2,244.99,281.87,261.4,440.94,480.63,488.18,1.79,1.05e-21,upregulated,56,0,C34G6.4,WBGene00003996,Sequence name for WBGene00003996(pgp-2). History: Renamed on 2007-06-13
F45F2.3,his-5,2057.08,1616.36,1658.86,3065.76,3339.6,3513.64,1.86,5.06e-20,upregulated,5,54,F45F2.3,WBGene00001879,Sequence name for WBGene00001879(his-5). History: N.A.
W02B8.2,Coding_gene,756.36,755.51,744.22,1193.7,1128.67,1076.29,1.51,5.34e-19,upregulated,38,39,W02B8.2,WBGene00012198,Public name for WBGene00012198. History: N.A.
F11A6.2,scrm-4,32.08,37.46,49.68,141.73,160.93,184.51,4.11,1.54e-18,upregulated,16,4,F11A6.2,WBGene00008681,Sequence name for WBGene00008681(scrm-4). History: Renamed on 2007-05-03
C18D4.6,Coding_gene,71.18,80.51,77.99,182.94,212.46,232.8,2.74,2.6e-18,upregulated,12,30,C18D4.6,WBGene00007675,Public name for WBGene00007675. History: N.A.
T10D4.6,Coding_gene,392.76,394.26,405.05,682.41,718.25,612.14,1.69,1.54e-17,upregulated,31,4,T10D4.6,WBGene00020408,Public name for WBGene00020408. History: N.A.
M162.12,Pseudogene,46.66,52.63,43.21,190.03,201.97,139.34,3.71,1.01e-15,upregulated,ND,ND,M162.12,WBGene00050946,Public name for WBGene00050946. History: N.A.
Y20F4.4,Coding_gene,839.97,784.95,867.36,1235.69,1347.93,1395.34,1.6,9.51e-14,upregulated,13,103,Y20F4.4,WBGene00021239,Public name for WBGene00021239. History: N.A.
T16A9.1,Transposon,223.6,191.78,207.39,370.6,338.06,328.65,1.67,9.97e-14,upregulated,ND,ND,T16A9.1,,Sequence name for Suppressed gene WBGene00011792. Molecular name for Suppressed gene WBGene00011792. Public name for Suppressed gene WBGene00011792. History of WBGene00011792: Killed on 2006-10-31; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZK131.1,his-26,9298.68,8288.77,9578.39,14099.35,16202.26,15024.26,1.67,1.59e-13,upregulated,3,43,ZK131.1,WBGene00001900,Sequence name for WBGene00001900(his-26). History: N.A.
ZK131.4,his-10,9298.68,8288.77,9578.39,14099.35,16202.26,15024.26,1.67,1.59e-13,upregulated,3,43,ZK131.4,WBGene00001884,Sequence name for WBGene00001884(his-10). History: N.A.
ZK131.8,his-14,9298.68,8288.77,9578.39,14099.35,16202.26,15024.26,1.67,1.59e-13,upregulated,3,43,ZK131.8,WBGene00001888,Sequence name for WBGene00001888(his-14). History: N.A.
H05C05.2,Coding_gene,588.89,505.66,559.58,817.95,797.36,854.98,1.5,8.58e-13,upregulated,42,3,H05C05.2,WBGene00019158,Public name for WBGene00019158. History: N.A.
F41B5.1,Pseudogene,116.66,120.42,120.97,219.42,224.65,214.3,1.84,5.7e-12,upregulated,20,20,F41B5.1,WBGene00023284,Public name for WBGene00023284. History: N.A.
R11D1.11,dhs-21,6.81,6.24,10.8,73.49,86.41,74.96,9.96,3.15e-11,upregulated,3,0,R11D1.11,WBGene00000984,Sequence name for WBGene00000984(dhs-21). History: N.A.
W02D3.5,lbp-6,236.24,206.06,239.77,421.01,497.91,482.44,2.06,5.12e-11,upregulated,4,3,W02D3.5,WBGene00002258,Sequence name for WBGene00002258(lbp-6). History: N.A.
F08G2.4,Coding_gene,137.08,116.85,139.33,246.72,272.18,267.16,2.0,5.26e-11,upregulated,9,0,F08G2.4,WBGene00008576,Public name for WBGene00008576. History: N.A.
T20F7.1,Coding_gene,358.74,345.2,330.52,513.39,492.51,584.28,1.54,9.45e-11,upregulated,34,16,T20F7.1,WBGene00020630,Public name for WBGene00020630. History: N.A.
ZK131.3,his-9,3798.25,3695.63,4060.93,5654.77,6305.48,6483.13,1.6,1.12e-10,upregulated,2,16,ZK131.3,WBGene00001883,Sequence name for WBGene00001883(his-9). History: N.A.
ZK131.7,his-13,3798.25,3695.63,4060.93,5654.77,6305.48,6483.13,1.6,1.12e-10,upregulated,2,16,ZK131.7,WBGene00001887,Sequence name for WBGene00001887(his-13). History: N.A.
ZK131.2,his-25,3798.25,3695.63,4060.93,5654.77,6305.48,6483.13,1.6,1.12e-10,upregulated,3,18,ZK131.2,WBGene00001899,Sequence name for WBGene00001899(his-25). History: N.A.
WBTransposon00000587,"Transposon, CEREP1A",797.19,936.59,964.57,1222.04,1199.96,1325.19,1.39,1.41e-10,upregulated,ND,ND,,,
R06C1.4,Coding_gene,390.8,369.31,435.21,618.41,586.48,604.53,1.52,3.21e-10,upregulated,2,6,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
F10E7.2,Coding_gene,452.06,460.27,440.68,582.68,632.92,668.86,1.39,1e-09,upregulated,19,85,F10E7.2,WBGene00017344,Public name for WBGene00017344. History: N.A.
H06O01.3,ctg-1,350.96,417.45,374.8,604.73,611.32,628.49,1.61,1.76e-09,upregulated,10,1,H06O01.3,WBGene00010370,Sequence name for WBGene00010370(ctg-1). History: N.A.
D1044.1,Coding_gene,22.36,17.84,23.76,81.89,62.64,79.76,3.53,7.26e-09,upregulated,18,5,D1044.1,WBGene00017027,Public name for WBGene00017027. History: N.A.
F08G2.1,his-44,3383.13,2951.71,3433.38,5495.21,5924.22,6296.75,1.81,7.33e-09,upregulated,0,39,F08G2.1,WBGene00001918,Sequence name for WBGene00001918(his-44). History: N.A.
