# Analysis of coding loci targeted by 26G-RNAs in eri-5 and rrf-3 embryos,,,,,,,,,,,,,,,,,
# Coding 26G-RNA loci were defined in Vasale et al. (2010). The number of normalized antisense reads targeting the indicated 26G-RNA loci are presented as reads per million (rpm) for each sample. Enrichment values were calculated by dividing the mutant rpm value by the sum of mutant plus N2 wild-type (wt) rpm values. Highlighted rows indicate 45 coding loci with at least 10 rpm (total reads) in N2 or mutant sample; the corresponding enrichment values for 26nt reads (in bold) were used to generate the box and whisker plots in Figure 3C.,,,,,,,,,,,,,,,,,
Gene,Locus ID,26nt reads_N2 rpm_26nt...3,26nt reads_rrf-3 rpm_26nt,26nt reads_rrf-3 enrichment_m/(m+wt),26nt reads_N2 rpm_26nt...6,26nt reads_eri-5 rpm_26nt,26nt reads_eri-5 enrichment_m/(m+wt),Total reads_N2 rpm_total...9,Total reads_rrf-3 rpm_total,Total reads_rrf-3 enrichment_m/(m+wt),Total reads_N2 rpm_total...12,Total reads_eri-5 rpm_total,Total reads_eri-5 enrichment_m/(m+wt),Highlighted,Input,Suggested Match,History
E01G4.7,E01G4.7,1897.1999,7.1165,0.003737037,1897.1999,535.0011,0.219965825,2338.7942,17.0287,0.007228345,2338.7942,947.9185,0.288409297,Yes,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
F55C9.3,F55C9.3,1733.8585,7.4861,0.004299034,1733.8585,849.7487,0.328900113,2064.7431,9.7043,0.004678017,2064.7431,1192.9328,0.36619137,Yes,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
C40A11.10,C40A11.10,1061.925,5.3604,0.005022462,1061.925,417.3069,0.282110533,1423.2406,6.7468,0.004718084,1423.2406,699.3782,0.329488366,Yes,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
F55C9.5,F55C9.5,945.4472,4.2514,0.004476578,945.4472,485.6134,0.33933811,1088.2017,5.0832,0.004649474,1088.2017,663.1598,0.378653864,Yes,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
K02E2.6,K02E2.6,872.2525,5.1756,0.005898603,872.2525,471.3745,0.350822438,1081.1089,6.7006,0.006159718,1081.1089,671.9703,0.383308581,Yes,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
F39E9.7,F39E9.7,660.6428,2.8651,0.00431811,660.6428,138.704,0.17352168,971.0991,3.9741,0.004075694,971.0991,334.4579,0.256180236,Yes,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
Y116A8B.1,Y116A8B.1,730.7745,1.0628,0.001452235,730.7745,275.5161,0.273793773,968.9366,8.2717,0.008464623,968.9366,458.0103,0.32097221,Yes,Y116A8B.1,WBGene00013779,Public name for WBGene00013779. History: N.A.
Y37E11B.2,Y37E11B.2,726.1906,2.4954,0.00342452,726.1906,252.0503,0.257656677,932.7328,5.7763,0.006154762,932.7328,389.0366,0.294330161,Yes,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
E01G4.5,E01G4.5,212.2646,0.7856,0.003687394,212.2646,76.5212,0.264975632,821.3225,4.5055,0.005455737,821.3225,279.7811,0.254091531,Yes,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
Y105C5A.14,Y105C5A.14,361.5057,1.2477,0.003439527,361.5057,78.3633,0.17815145,498.7272,16.5897,0.0321932,498.7272,143.666,0.223641844,Yes,Y105C5A.14,WBGene00013638,"Public name for WBGene00013638. History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
fbxb-37,T16A1.8,283.1462,2.1257,0.007451488,283.1462,121.3784,0.300051962,486.5366,7.7172,0.015613841,486.5366,244.37,0.334338204,Yes,fbxb-37,WBGene00020537,"Public name for WBGene00020537. History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
Y116F11A.1,Y116F11A.1,340.7514,1.2477,0.003648255,340.7514,86.7273,0.202880986,462.0487,1.8022,0.0038853,462.0487,155.5729,0.251890316,Yes,Y116F11A.1,WBGene00013816,Public name for WBGene00013816. History: N.A.
F52D2.6,F52D2.6,347.5639,1.2939,0.003708961,347.5639,114.6075,0.247976184,441.384,3.3743,0.007586817,441.384,155.4327,0.260436244,Yes,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
W04B5.2,W04B5.2,243.1584,0.7394,0.003031598,243.1584,99.0743,0.289493961,383.9135,1.2015,0.003119847,383.9135,187.7433,0.328419604,Yes,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
W05H12.2,W05H12.2,255.1358,0.9704,0.003789053,255.1358,65.7176,0.204821267,353.5261,16.3432,0.044186419,353.5261,113.3463,0.242777898,Yes,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
T25G12.11,T25G12.11,250.3829,1.5712,0.006236056,250.3829,225.0331,0.473339349,350.5476,2.7726,0.007847273,350.5476,299.7619,0.460952669,Yes,T25G12.11,WBGene00020817,Public name for WBGene00020817. History: N.A.
F31A9.4,F31A9.4,254.7555,1.2015,0.004694148,254.7555,82.4457,0.24450002,350.0216,13.1393,0.036180382,350.0216,125.3613,0.263705952,Yes,F31A9.4,WBGene00017942,Sequence name for WBGene00017942(fbxc-37). History: N.A.
Y57G11C.51,Y57G11C.51,251.0166,0.5545,0.002204148,251.0166,110.0272,0.304747513,338.2177,16.1815,0.045658963,338.2177,163.3481,0.325676312,Yes,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
T05E12.8,T05E12.8,260.0154,1.2015,0.004599626,260.0154,54.9638,0.174499776,313.2162,1.756,0.005575095,313.2162,86.9763,0.217336157,Yes,T05E12.8,WBGene00045382,Public name for WBGene00045382. History: N.A.
C01A2.1,C01A2.1,102.8211,0.647,0.006253135,102.8211,16.4294,0.137772169,230.0214,6.0305,0.025547348,230.0214,45.2223,0.164299128,Yes,C01A2.1,WBGene00007213,Public name for WBGene00007213. History: N.A.
F39F10.4,F39F10.4,77.6307,0.5545,0.007092135,77.6307,8.1649,0.095166885,189.5521,9.2884,0.046712818,189.5521,19.1676,0.091834168,Yes,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
CD4.8,CD4.8,24.1923,0.0308,0.001271514,24.1923,9.2104,0.275738189,163.9051,6.4926,0.038102627,163.9051,28.4087,0.147720548,Yes,CD4.8,WBGene00016993,Public name for WBGene00016993. History: N.A.
W04B5.1,W04B5.1,114.133,0.6469,0.005636004,114.133,43.0815,0.274030067,147.9534,0.9242,0.006207784,147.9534,69.3121,0.319020277,Yes,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
fbxa-46,F52D2.8,56.2744,0.0924,0.001639263,56.2744,27.4321,0.32771768,117.3632,0.5292,0.004488839,117.3632,56.5131,0.325018993,Yes,fbxa-46,WBGene00018690,Public name for WBGene00018690. History: N.A.
C02B8.2,C02B8.2,59.5063,0.1386,0.002323753,59.5063,23.2999,0.281378689,103.608,2.5724,0.024226693,103.608,38.5676,0.271267362,Yes,C02B8.2,WBGene00015321,Sequence name for WBGene00015321(fbxc-38). History: N.A.
F31A9.2,F31A9.2,77.5568,0.2156,0.002772192,77.5568,34.8337,0.309934559,91.8107,0.3081,0.003344594,91.8107,45.687,0.332274649,Yes,F31A9.2,WBGene00017941,Public name for WBGene00017941. History: N.A.
Y17D7B.4,Y17D7B.4,62.3581,0.1848,0.002954772,62.3581,12.4465,0.166386826,85.7002,0.2773,0.003225262,85.7002,32.1319,0.272692246,Yes,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
ZK402.3,ZK402.3,44.8938,0.1078,0.00239547,44.8938,21.939,0.328266959,81.982,0.9011,0.010871939,81.982,34.2918,0.294922846,Yes,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
