# Table S4. Top 98 WAGO-1 IP Target Genes
# Reads normalized to 3.21 million nonstructural reads from WAGO-1 IP
# Sense = Normalized sense reads
# Anti = Normalized antisense reads
# All = Total reads
# Note = Pattern of small RNAs with respect to gene structure
# List sorted by normalized antisense reads
Gene Name,Sense,Anti,All,Note,Input,Suggested Match,History
C04G2.10,31.0833,17094.0333,17125.1166,apparent intronic small RNA cluster,C04G2.10,WBGene00007309,Public name for WBGene00007309. History: N.A.
F37D6.3,3.0,15610.0,15613.0,extend at least 1 Kb 3',F37D6.3,WBGene00009509,Public name for WBGene00009509. History: N.A.
B0250.8,1.5,14552.3333,14553.8333,,B0250.8,WBGene00007125,Public name for WBGene00007125. History: N.A.
fkb-8,12.5,13049.6667,13062.1667,,fkb-8,WBGene00001433,Public name for WBGene00001433. History: N.A.
W04A8.6,10.5,12505.119,12515.619,only on the 5' half of the mRNA; extending 1 Kb 5',W04A8.6,WBGene00012241,"Public name for WBGene00012241. History: Split into W04A8.9(WBGene00195155). History of WBGene00012241: Split into ""WBGene00195155"" on 2010-05-21"
crs-2,7.6666,12489.4991,12497.1657,only on the 3' half of the mRNA; extending 1 Kb 3',crs-2,WBGene00000801,Other name for WBGene00000801(cars-2). History: Renamed on 2010-01-29
Y71A12B.10,145.3374,12400.739,12546.0764,apparent intronic small RNA cluster,Y71A12B.10,WBGene00013507,Public name for WBGene00013507. History: N.A.
bath-45,2.0,12216.0,12218.0,,bath-45,WBGene00009247,Public name for WBGene00009247. History: N.A.
F15D4.5,1.0,11812.3333,11813.3333,apparent intronic small RNA cluster; extending 0.5 Kb 5' and 1 Kb 3',F15D4.5,WBGene00008862,Public name for WBGene00008862. History: N.A.
C46C2.3,19.0,11550.8333,11569.8333,extending 1Kb 5' and 0.5 Kb 3',C46C2.3,WBGene00008111,Public name for WBGene00008111. History: N.A.
F37H8.2,2293.3333,11383.7777,13677.111,,F37H8.2,WBGene00009511,Public name for WBGene00009511. History: N.A.
F02C12.3,0.0,10954.9459,10954.9459,,F02C12.3,WBGene00008517,Public name for WBGene00008517. History: N.A.
T01A4.3,8.0,10767.4833,10775.4833,apparent intronic small RNA cluster; extending 1kb 5' and at least 2 Kb 3',T01A4.3,WBGene00016561,"Public name for Dead gene WBGene00020133. History of WBGene00020133: Merged into ""WBGene00016561"" on 2009-05-07"
bath-20,8.1542,10251.071,10259.2252,,bath-20,WBGene00015012,Public name for WBGene00015012. History: N.A.
Y46H3C.6,0.0,10062.0,10062.0,apparent intronic small RNA cluster,Y46H3C.6,WBGene00021606,Public name for WBGene00021606. History: N.A.
zfp-1,17.3333,9601.9701,9619.3034,apparent intronic small RNA cluster,zfp-1,WBGene00006975,Public name for WBGene00006975. History: N.A.
Y57G11C.499,1.0,9352.25,9353.25,,Y57G11C.499,WBGene00077762,Public name for WBGene00077762. History: N.A.
T01C8.5,9.0047,8722.3333,8731.338,apparent intronic small RNA cluster,T01C8.5,WBGene00020146,Sequence name for WBGene00020146(got-1.2). History: N.A.
F59C12.4,6.0,7836.5,7842.5,,F59C12.4,WBGene00045272,Public name for WBGene00045272. History: N.A.
frm-1,93.9985,7420.29200000043,7514.29050000043,"only on one 10 Kb exon, not on other ~10 exons",frm-1,WBGene00001488,Public name for WBGene00001488. History: N.A.
T12G3.1,10.0,7270.1666,7280.1666,,T12G3.1,WBGene00011737,Sequence name for WBGene00011737(sqst-1). History: N.A.
Y48G1BM.5,10.6011,7042.4649,7053.066,apparent intronic small RNA cluster; extending 5 Kb both 5' and 3',Y48G1BM.5,WBGene00021671,"Public name for Dead gene WBGene00021670. History of WBGene00021670: Merged into ""WBGene00021671"" on 2009-01-09"
K08F11.1,104.5,6191.5,6296.0,apparent intronic small RNA cluster; extending 1kb 5' and at least 1 Kb 3',K08F11.1,WBGene00019541,Public name for WBGene00019541. History: N.A.
Y54G2A.21,22.9493,6055.8983,6078.8476,apparent intronic small RNA cluster,Y54G2A.21,WBGene00021886,Public name for WBGene00021886. History: N.A.
T11F9.10,1.0,5784.6666,5785.6666,,T11F9.10,WBGene00011712,Public name for WBGene00011712. History: N.A.
srh-1,25.6666,5714.3332,5739.9998,only on 3' UTR,srh-1,WBGene00005227,Public name for WBGene00005227. History: N.A.
Y102A5D.1,0.0,5654.5,5654.5,apparent intronic small RNA cluster; extending 2 Kb 5' and 10 Kb 3',Y102A5D.1,,Sequence name for Suppressed gene WBGene00013630. Molecular name for Suppressed gene WBGene00013630. Public name for Suppressed gene WBGene00013630. History of WBGene00013630: Killed on 2011-05-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
