# Supplemental Table 2
# Normalized siRNA counts (reads per million) for genes with > 1.5 fold change in total siRNAs in their 5'UTR region. Dauer and L3 siRNA counts normalized to total siRNAs.
Gene,Location,PD1/CON1 ratio,PD2/CON2 ratio,...5,CON1 rpm,CON2 rpm,PD1 rpm,PD2 rpm,Input,Suggested Match,History
F10G7.12,chrII:4689380-4691399,0.122857774432472,0.0653704417352532,,2.27752664250666,10.3831141187813,0.279811854509028,0.678748756532278,F10G7.12,WBGene00044744,Public name for WBGene00044744. History: N.A.
C28F5.1,chrII:7505156-7507289,0.204762957387453,0.271675992054016,,4.099547956512,21.6525916379464,0.839435563527084,5.88248931377958,C28F5.1,WBGene00016183,Public name for WBGene00016183. History: N.A.
Y45F10C.6,chrIV:13652922-13656380,0.258647946173624,0.55589086749682,,25.963803724576,13.6753210344925,6.71548450821667,7.60198607316151,Y45F10C.6,WBGene00044256,"Public name for WBGene00044256. History: Split into Y45F10C.21(WBGene00271792). History of WBGene00044256: Split into ""WBGene00271792"" on 2017-09-21"
Y32G9A.11,chrV:1911327-1912951,0.292518510553504,0.119119471606461,,4.78280594926399,17.0941512931156,1.39905927254514,2.03624626959683,Y32G9A.11,WBGene00021302,"Public name for Dead gene WBGene00021308. History of WBGene00021308: Merged into ""WBGene00021302"" on 2015-07-23"
W08F4.1,chrII:592518-594858,0.295934785746485,0.23806937677323,,3.30931522061945,14.8254831503584,0.979341490781598,3.52949353396785,W08F4.1,WBGene00021091,Public name for WBGene00021091. History: N.A.
T11G6.7,chrIV:10843567-10845891,0.307144436081179,0.410479260265509,,30.9743623380906,112.441528505827,9.51360305330696,46.1549154441949,T11G6.7,WBGene00011721,Public name for WBGene00011721. History: N.A.
Y67D8C.6,chrIV:3062030-3064362,0.345978790068455,0.662164121577094,,39.628963579616,8.61038731801377,13.7107808709424,5.70148955487114,Y67D8C.6,WBGene00022070,Public name for WBGene00022070. History: N.A.
W04B5.1,chrIII:2427460-2430351,0.364894070357362,0.53240499089476,,446.167469267055,554.314787403206,162.803863921899,295.119959340234,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
F47E1.1,chrX:9072737-9078553,0.382029319549494,0.246172831573688,,5693.05255028323,3432.29813060894,2174.91299194422,844.938549617077,F47E1.1,WBGene00018565,Public name for WBGene00018565. History: N.A.
ZK1067.8,chrII:9212994-9215133,0.400994124883762,0.443051504087298,,32.796383652096,24.8181752107456,13.1511571619243,10.9957298558229,ZK1067.8,WBGene00014208,"Public name for Dead gene WBGene00014212. History of WBGene00014212: Merged into ""WBGene00014208"" on 2011-01-21"
nhr-171,chrV:7511135-7514665,0.418532913646281,0.526722670399634,,8.36994912916491,16.9768074152656,3.50309919610054,8.94206933662898,nhr-171,WBGene00016926,Public name for WBGene00016926. History: N.A.
Y75B12B.11,chrV:15190902-15192643,0.511907393468632,0.348327696755356,,5.46606394201599,35.0746659866149,2.79811854509028,12.217477617581,Y75B12B.11,WBGene00013573,Public name for WBGene00013573. History: N.A.
Carboxylesterases,chrX:13759212-13764905,0.516069242196019,0.111610276615299,,25.2122199325488,2.56771094625877,13.0112512346698,0.286582928980074,,,
snf-6,chrIII:1519213-1533758,0.527610074249878,0.0969577095097539,,37.1236842728586,56.0036956288862,19.586829815632,5.42999005225822,snf-6,WBGene00004905,Public name for WBGene00004905. History: N.A.
F42E8.1,chrV:13061408-13065099,0.534330720855503,0.629919923019691,,10.9608679927338,16.2756217902565,5.85672849575945,10.252338425216,F42E8.1,WBGene00009630,Public name for WBGene00009630. History: N.A.
his-24,chrX:14489027-14492032,0.535533888551799,0.625377225933922,,8.88235390577599,12.1558409195488,4.75680152665348,7.60198607316151,his-24,WBGene00001898,Public name for WBGene00001898. History: Renamed on 2010-11-12
F41H10.12,chrIV:5384308-5386617,0.540662120042719,0.401760375885536,,63.6568696580613,42.2359195475799,34.4168581046105,16.968718913307,F41H10.12,WBGene00018322,Public name for WBGene00018322. History: N.A.
Y55B1BR.5,chrIII:452783-456118,0.549540979908127,0.389845543439328,,10.7138649900427,14.6249961063322,5.88770786523142,5.70148955487114,Y55B1BR.5,WBGene00044401,"Public name for Dead gene WBGene00044400. History of WBGene00044400: Merged into ""WBGene00044401"" on 2014-10-09"
srx-7,chrV:559698-563135,0.56017100370419,0.485700023696091,,10.5396925065729,3.92532363027098,5.9040301301405,1.90652978023744,srx-7,WBGene00005898,Public name for WBGene00005898. History: N.A.
T13C5.8,chrX:6204706-6206540,0.580782206408048,0.306307212702329,,12.5263965337867,1.77272680076754,7.27510821723473,0.542999005225822,T13C5.8,WBGene00077690,Sequence name for WBGene00077690(mtp-18). History: N.A.
ZK402.3,chrX:1401212-1403739,0.585367555124875,0.291866437261715,,20.156110786184,31.7824590709038,11.7987332917346,9.27623309644097,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
nhr-229,chrIV:17028322-17031551,0.592349983870845,0.107207524445815,,6.37707459901866,10.1298674329574,3.77746003587188,1.08599801045164,nhr-229,WBGene00013795,Public name for WBGene00013795. History: N.A.
ZK402.5,chrX:1397819-1401747,0.608698074691028,0.548545159600586,,100.097295938168,12.6623342911967,60.9290313193409,6.94586218468048,ZK402.5,WBGene00022731,Public name for WBGene00022731. History: N.A.
