WB.ID,gene.name,CIS-BP.motif,TF,Input,Suggested Match,History
WBGene00000004,aat-3,M00590_2.00,Y44A6D.3,WBGene00000004,WBGene00000004,History: N.A.
WBGene00000055,acr-16,M00590_2.00,Y44A6D.3,WBGene00000055,WBGene00000055,History: N.A.
WBGene00000123,ama-1,M00590_2.00,Y44A6D.3,WBGene00000123,WBGene00000123,History: Renamed on 2007-10-04
WBGene00000180,arc-1,M00590_2.00,Y44A6D.3,WBGene00000180,WBGene00000180,History: N.A.
WBGene00000263,F23H11.5,M00590_2.00,Y44A6D.3,WBGene00000263,WBGene00000263,History: N.A.
WBGene00000296,cat-2,M00590_2.00,Y44A6D.3,WBGene00000296,WBGene00000296,History: N.A.
WBGene00000392,cdd-2,M00590_2.00,Y44A6D.3,WBGene00000392,WBGene00000392,History: N.A.
WBGene00000409,cdk-8,M00590_2.00,Y44A6D.3,WBGene00000409,WBGene00000409,History: N.A.
WBGene00000460,ceh-39,M00590_2.00,Y44A6D.3,WBGene00000460,WBGene00000460,History: N.A.
WBGene00000496,chs-1,M00590_2.00,Y44A6D.3,WBGene00000496,WBGene00000496,History: N.A.
WBGene00000535,cpi-1,M00590_2.00,Y44A6D.3,WBGene00000535,WBGene00000535,History: Renamed on 2006-01-04
WBGene00000672,col-97,M00590_2.00,Y44A6D.3,WBGene00000672,WBGene00000672,History: N.A.
WBGene00001044,dnj-26,M00590_2.00,Y44A6D.3,WBGene00001044,WBGene00001044,History: N.A.
WBGene00001232,eif-3.I,M00590_2.00,Y44A6D.3,WBGene00001232,WBGene00001232,History: N.A.
WBGene00001338,ears-2,M00590_2.00,Y44A6D.3,WBGene00001338,WBGene00001338,History: Renamed on 2010-01-29
WBGene00001365,exc-4,M00590_2.00,Y44A6D.3,WBGene00001365,WBGene00001365,History: N.A.
WBGene00001485,fre-1,M00590_2.00,Y44A6D.3,WBGene00001485,WBGene00001485,History: N.A.
WBGene00001514,xnd-1,M00590_2.00,Y44A6D.3,WBGene00001514,WBGene00001514,History: Renamed on 2008-09-15
WBGene00001608,R07B1.8,M00590_2.00,Y44A6D.3,WBGene00001608,WBGene00001608,History: N.A.
WBGene00001647,gna-2,M00590_2.00,Y44A6D.3,WBGene00001647,WBGene00001647,History: N.A.
WBGene00001671,gpa-9,M00590_2.00,Y44A6D.3,WBGene00001671,WBGene00001671,History: N.A.
WBGene00001787,gst-39,M00590_2.00,Y44A6D.3,WBGene00001787,WBGene00001787,History: N.A.
WBGene00001937,his-63,M00590_2.00,Y44A6D.3,WBGene00001937,WBGene00001937,History: N.A.
WBGene00001961,hlh-17,M00590_2.00,Y44A6D.3,WBGene00001961,WBGene00001961,History: N.A.
WBGene00002060,ife-2,M00590_2.00,Y44A6D.3,WBGene00002060,WBGene00002060,History: N.A.
WBGene00002063,ife-5,M00590_2.00,Y44A6D.3,WBGene00002063,WBGene00002063,History: N.A.
WBGene00002147,ire-1,M00590_2.00,Y44A6D.3,WBGene00002147,WBGene00002147,History: N.A.
WBGene00002203,kin-20,M00590_2.00,Y44A6D.3,WBGene00002203,WBGene00002203,History: N.A.
WBGene00002210,kin-29,M00590_2.00,Y44A6D.3,WBGene00002210,WBGene00002210,History: N.A.
WBGene00002245,lag-1,M00590_2.00,Y44A6D.3,WBGene00002245,WBGene00002245,History: N.A.
WBGene00002977,lev-10,M00590_2.00,Y44A6D.3,WBGene00002977,WBGene00002977,History: N.A.
WBGene00003025,lin-40,M00590_2.00,Y44A6D.3,WBGene00003025,WBGene00003025,History: Renamed on 2007-03-01
WBGene00003061,lpd-5,M00590_2.00,Y44A6D.3,WBGene00003061,WBGene00003061,History: Renamed on 2008-02-26
WBGene00003153,mca-3,M00590_2.00,Y44A6D.3,WBGene00003153,WBGene00003153,History: Renamed on 2007-10-09
WBGene00003473,mtl-1,M00590_2.00,Y44A6D.3,WBGene00003473,WBGene00003473,History: N.A.
WBGene00003610,nhr-11,M00590_2.00,Y44A6D.3,WBGene00003610,WBGene00003610,History: N.A.
WBGene00003668,nhr-78,M00590_2.00,Y44A6D.3,WBGene00003668,WBGene00003668,History: N.A.
WBGene00003704,nhr-114,M00590_2.00,Y44A6D.3,WBGene00003704,WBGene00003704,History: N.A.
WBGene00003804,npp-18,M00590_2.00,Y44A6D.3,WBGene00003804,WBGene00003804,History: N.A.
WBGene00004287,rac-2,M00590_2.00,Y44A6D.3,WBGene00004287,WBGene00004287,"History: Split into rac-3(WBGene00044670). History of WBGene00004287: Split into ""WBGene00044670"" on 2005-11-14"
WBGene00004385,rnp-2,M00590_2.00,Y44A6D.3,WBGene00004385,WBGene00004385,History: N.A.
WBGene00004812,skr-6,M00590_2.00,Y44A6D.3,WBGene00004812,WBGene00004812,History: N.A.
WBGene00004963,spe-9,M00590_2.00,Y44A6D.3,WBGene00004963,WBGene00004963,History: N.A.
WBGene00005038,sra-12,M00590_2.00,Y44A6D.3,WBGene00005038,WBGene00005038,History: N.A.
WBGene00005117,srd-39,M00590_2.00,Y44A6D.3,WBGene00005117,WBGene00005117,History: N.A.
WBGene00005332,srh-113,M00590_2.00,Y44A6D.3,WBGene00005332,WBGene00005332,History: N.A.
WBGene00005355,srh-138,M00590_2.00,Y44A6D.3,WBGene00005355,WBGene00005355,History: N.A.
WBGene00005365,srh-149,M00590_2.00,Y44A6D.3,WBGene00005365,WBGene00005365,History: N.A.
WBGene00005400,srh-185,M00590_2.00,Y44A6D.3,WBGene00005400,WBGene00005400,History: N.A.
WBGene00005435,srh-227,M00590_2.00,Y44A6D.3,WBGene00005435,WBGene00005435,History: N.A.
WBGene00005443,srh-236,M00590_2.00,Y44A6D.3,WBGene00005443,WBGene00005443,History: N.A.
WBGene00005505,srh-301,M00590_2.00,Y44A6D.3,WBGene00005505,WBGene00005505,History: N.A.
WBGene00005782,srw-35,M00590_2.00,Y44A6D.3,WBGene00005782,WBGene00005782,History: N.A.
WBGene00005876,srw-129,M00590_2.00,Y44A6D.3,WBGene00005876,WBGene00005876,History: N.A.
WBGene00005898,srx-7,M00590_2.00,Y44A6D.3,WBGene00005898,WBGene00005898,History: N.A.
WBGene00006131,str-69,M00590_2.00,Y44A6D.3,WBGene00006131,WBGene00006131,History: N.A.
WBGene00006151,str-93,M00590_2.00,Y44A6D.3,WBGene00006151,WBGene00006151,History: N.A.
WBGene00006377,syp-3,M00590_2.00,Y44A6D.3,WBGene00006377,WBGene00006377,History: N.A.
WBGene00006379,sys-1,M00590_2.00,Y44A6D.3,WBGene00006379,WBGene00006379,History: N.A.
WBGene00006674,twk-21,M00590_2.00,Y44A6D.3,WBGene00006674,WBGene00006674,History: N.A.
WBGene00006695,twk-45,M00590_2.00,Y44A6D.3,WBGene00006695,WBGene00006695,History: N.A.
WBGene00006725,ubl-1,M00590_2.00,Y44A6D.3,WBGene00006725,WBGene00006725,History: N.A.
WBGene00006739,ulp-4,M00590_2.00,Y44A6D.3,WBGene00006739,WBGene00006739,History: N.A.
WBGene00006836,unc-112,M00590_2.00,Y44A6D.3,WBGene00006836,WBGene00006836,History: N.A.
WBGene00006966,xtr-2,M00590_2.00,Y44A6D.3,WBGene00006966,WBGene00006966,History: N.A.
WBGene00006994,zyg-9,M00590_2.00,Y44A6D.3,WBGene00006994,WBGene00006994,History: N.A.
WBGene00007068,cTel55X.1,M00590_2.00,Y44A6D.3,WBGene00007068,WBGene00007068,History: Renamed on 2007-07-19
WBGene00007505,pezo-1,M00590_2.00,Y44A6D.3,WBGene00007505,WBGene00007505,History: N.A.
WBGene00007960,C35D6.3,M00590_2.00,Y44A6D.3,WBGene00007960,WBGene00007960,History: N.A.
WBGene00008070,C43D7.8,M00590_2.00,Y44A6D.3,WBGene00008070,WBGene00008070,History: N.A.
WBGene00008071,fbxb-64,M00590_2.00,Y44A6D.3,WBGene00008071,WBGene00008071,History: N.A.
WBGene00008145,set-5,M00590_2.00,Y44A6D.3,WBGene00008145,WBGene00008145,History: N.A.
WBGene00008232,C50F4.4,M00590_2.00,Y44A6D.3,WBGene00008232,WBGene00008232,History: N.A.
WBGene00008700,clec-254,M00590_2.00,Y44A6D.3,WBGene00008700,WBGene00008700,History: N.A.
WBGene00008701,F11D11.6,M00590_2.00,Y44A6D.3,WBGene00008701,WBGene00008701,"History: Split into clec-253(WBGene00045361). History of WBGene00008701: Split into ""WBGene00045361"" on 2007-04-12"
WBGene00008784,F14B6.3,M00590_2.00,Y44A6D.3,WBGene00008784,WBGene00008784,History: N.A.
WBGene00008802,acp-2,M00590_2.00,Y44A6D.3,WBGene00008802,WBGene00008802,History: N.A.
WBGene00009004,pfd-6,M00590_2.00,Y44A6D.3,WBGene00009004,WBGene00009004,History: N.A.
WBGene00009005,F21C3.6,M00590_2.00,Y44A6D.3,WBGene00009005,WBGene00009005,History: N.A.
WBGene00009035,gfat-2,M00590_2.00,Y44A6D.3,WBGene00009035,WBGene00009035,History: N.A.
WBGene00009043,F22B5.5,M00590_2.00,Y44A6D.3,WBGene00009043,WBGene00009043,History: N.A.
WBGene00009044,F22B5.6,M00590_2.00,Y44A6D.3,WBGene00009044,WBGene00009044,History: N.A.
WBGene00009303,lips-8,M00590_2.00,Y44A6D.3,WBGene00009303,WBGene00009303,History: N.A.
WBGene00009409,F35E2.1,M00590_2.00,Y44A6D.3,WBGene00009409,WBGene00009409,History: N.A.
WBGene00009563,F39H2.3,M00590_2.00,Y44A6D.3,WBGene00009563,WBGene00009563,History: N.A.
WBGene00009823,gadr-6,M00590_2.00,Y44A6D.3,WBGene00009823,WBGene00009823,History: N.A.
WBGene00009892,scl-11,M00590_2.00,Y44A6D.3,WBGene00009892,WBGene00009892,History: N.A.
WBGene00010059,F54E4.3,M00590_2.00,Y44A6D.3,WBGene00010059,WBGene00010059,History: Renamed on 2017-04-28
WBGene00010105,fbxb-62,M00590_2.00,Y44A6D.3,WBGene00010105,WBGene00010105,History: N.A.
WBGene00010106,fbxb-61,M00590_2.00,Y44A6D.3,WBGene00010106,WBGene00010106,History: N.A.
WBGene00010215,nhr-193,M00590_2.00,Y44A6D.3,WBGene00010215,WBGene00010215,History: N.A.
WBGene00010298,F59A1.12,M00590_2.00,Y44A6D.3,WBGene00010298,WBGene00010298,"History: Split into F59A1.19(WBGene00219549). History of WBGene00010298: Split into ""WBGene00219549"" on 2012-07-16"
WBGene00010576,clec-116,M00590_2.00,Y44A6D.3,WBGene00010576,WBGene00010576,History: N.A.
WBGene00010620,K07A12.1,M00590_2.00,Y44A6D.3,WBGene00010620,WBGene00010620,History: N.A.
WBGene00010697,uda-1,M00590_2.00,Y44A6D.3,WBGene00010697,WBGene00010697,History: Renamed on 2004-06-24
WBGene00010724,K09E9.1,M00590_2.00,Y44A6D.3,WBGene00010724,WBGene00010724,History: N.A.
WBGene00010725,erv-46,M00590_2.00,Y44A6D.3,WBGene00010725,WBGene00010725,History: Renamed on 2022-01-04
WBGene00010839,chl-1,M00590_2.00,Y44A6D.3,WBGene00010839,WBGene00010839,History: N.A.
WBGene00010955,M199.7,M00590_2.00,Y44A6D.3,WBGene00010955,WBGene00010955,History: N.A.
WBGene00011081,R07B1.9,M00590_2.00,Y44A6D.3,WBGene00011081,WBGene00011081,History: N.A.
WBGene00011268,pde-12,M00590_2.00,Y44A6D.3,WBGene00011268,WBGene00011268,History: N.A.
WBGene00011752,fbxa-2,M00590_2.00,Y44A6D.3,WBGene00011752,WBGene00011752,"History: Split into T13F3.9(WBGene00044653). History of WBGene00011752: Split into ""WBGene00044653"" on 2005-10-24"
WBGene00011803,T16G12.1,M00590_2.00,Y44A6D.3,WBGene00011803,WBGene00011803,History: N.A.
WBGene00011805,T16G12.4,M00590_2.00,Y44A6D.3,WBGene00011805,WBGene00011805,History: N.A.
WBGene00011909,T22A3.6,M00590_2.00,Y44A6D.3,WBGene00011909,WBGene00011909,"History: Split into T22A3.12(WBGene00206474). History of WBGene00011909: Split into ""WBGene00206474"" on 2011-04-11"
WBGene00011960,oac-48,M00590_2.00,Y44A6D.3,WBGene00011960,WBGene00011960,History: N.A.
WBGene00012240,W04A8.5,M00590_2.00,Y44A6D.3,WBGene00012240,WBGene00012240,History: N.A.
WBGene00012333,sre-43,M00590_2.00,Y44A6D.3,WBGene00012333,WBGene00012333,History: N.A.
WBGene00012336,W07G4.2,M00590_2.00,Y44A6D.3,WBGene00012336,WBGene00012336,History: N.A.
WBGene00012533,fbxa-209,M00590_2.00,Y44A6D.3,WBGene00012533,WBGene00012533,History: N.A.
WBGene00012574,fbxa-213,M00590_2.00,Y44A6D.3,WBGene00012574,WBGene00012574,History: N.A.
WBGene00012720,Y39E4B.11,M00590_2.00,Y44A6D.3,WBGene00012720,WBGene00012720,History: N.A.
WBGene00012798,Y43F4A.3,M00590_2.00,Y44A6D.3,WBGene00012798,WBGene00012798,History: N.A.
WBGene00012822,Y43F8B.12,M00590_2.00,Y44A6D.3,WBGene00012822,WBGene00012822,History: N.A.
WBGene00012852,Y44A6D.1,M00590_2.00,Y44A6D.3,WBGene00012852,WBGene00012852,History: N.A.
WBGene00012946,Y47H9B.2,M00590_2.00,Y44A6D.3,WBGene00012946,WBGene00012946,History: N.A.
WBGene00012960,Y47H10A.4,M00590_2.00,Y44A6D.3,WBGene00012960,WBGene00012960,History: N.A.
WBGene00013024,cept-2,M00590_2.00,Y44A6D.3,WBGene00013024,WBGene00013024,History: N.A.
WBGene00013025,vha-13,M00590_2.00,Y44A6D.3,WBGene00013025,WBGene00013025,History: Renamed on 2005-03-17
WBGene00013197,ttm-5,M00590_2.00,Y44A6D.3,WBGene00013197,WBGene00013197,History: N.A.
WBGene00013198,Y54E5A.2,M00590_2.00,Y44A6D.3,WBGene00013198,WBGene00013198,History: N.A.
WBGene00013370,Y60A9.3,M00590_2.00,Y44A6D.3,WBGene00013370,WBGene00013370,History: N.A.
WBGene00013409,fbxb-56,M00590_2.00,Y44A6D.3,WBGene00013409,WBGene00013409,History: N.A.
WBGene00013411,Y64G10A.1,M00590_2.00,Y44A6D.3,WBGene00013411,WBGene00013411,History: N.A.
WBGene00013653,Y105C5B.14,M00590_2.00,Y44A6D.3,WBGene00013653,WBGene00013653,History: N.A.
WBGene00013654,Y105C5B.15,M00590_2.00,Y44A6D.3,WBGene00013654,WBGene00013654,History: N.A.
WBGene00013774,clec-193,M00590_2.00,Y44A6D.3,WBGene00013774,WBGene00013774,History: N.A.
WBGene00013815,Y116A8C.44,M00590_2.00,Y44A6D.3,WBGene00013815,WBGene00013815,History: N.A.
WBGene00015014,bath-24,M00590_2.00,Y44A6D.3,WBGene00015014,WBGene00015014,History: N.A.
WBGene00015015,math-1,M00590_2.00,Y44A6D.3,WBGene00015015,WBGene00015015,History: N.A.
WBGene00015093,B0261.5,M00590_2.00,Y44A6D.3,WBGene00015093,WBGene00015093,History: N.A.
WBGene00015172,B0410.3,M00590_2.00,Y44A6D.3,WBGene00015172,WBGene00015172,History: N.A.
WBGene00015198,clec-2,M00590_2.00,Y44A6D.3,WBGene00015198,WBGene00015198,History: N.A.
WBGene00015559,npr-17,M00590_2.00,Y44A6D.3,WBGene00015559,WBGene00015559,History: N.A.
WBGene00015775,C14E2.6,M00590_2.00,Y44A6D.3,WBGene00015775,WBGene00015775,History: N.A.
WBGene00015835,math-6,M00590_2.00,Y44A6D.3,WBGene00015835,WBGene00015835,History: N.A.
WBGene00015836,math-7,M00590_2.00,Y44A6D.3,WBGene00015836,WBGene00015836,History: N.A.
WBGene00015888,C17C3.2,M00590_2.00,Y44A6D.3,WBGene00015888,WBGene00015888,History: N.A.
WBGene00015982,bgnt-1.4,M00590_2.00,Y44A6D.3,WBGene00015982,WBGene00015982,History: N.A.
WBGene00016013,ugt-66,M00590_2.00,Y44A6D.3,WBGene00016013,WBGene00016013,History: N.A.
WBGene00016112,C25H3.3,M00590_2.00,Y44A6D.3,WBGene00016112,WBGene00016112,History: N.A.
WBGene00016118,C25H3.9,M00590_2.00,Y44A6D.3,WBGene00016118,WBGene00016118,History: N.A.
WBGene00016123,C25H3.14,M00590_2.00,Y44A6D.3,WBGene00016123,WBGene00016123,History: N.A.
WBGene00016578,sdz-5,M00590_2.00,Y44A6D.3,WBGene00016578,WBGene00016578,History: Renamed on 2005-12-13
WBGene00016643,vps-45,M00590_2.00,Y44A6D.3,WBGene00016643,WBGene00016643,History: N.A.
WBGene00016857,srt-16,M00590_2.00,Y44A6D.3,WBGene00016857,WBGene00016857,History: N.A.
WBGene00016891,C53A3.1,M00590_2.00,Y44A6D.3,WBGene00016891,WBGene00016891,"History: Split into C53A3.4(WBGene00303231). History of WBGene00016891: Split into ""WBGene00303231"" on 2018-05-16"
WBGene00016993,CD4.8,M00590_2.00,Y44A6D.3,WBGene00016993,WBGene00016993,History: N.A.
WBGene00017097,E02C12.12,M00590_2.00,Y44A6D.3,WBGene00017097,WBGene00017097,History: N.A.
WBGene00017157,tyra-2,M00590_2.00,Y44A6D.3,WBGene00017157,WBGene00017157,History: N.A.
WBGene00017188,F07B7.7,M00590_2.00,Y44A6D.3,WBGene00017188,WBGene00017188,History: N.A.
WBGene00017280,usp-39,M00590_2.00,Y44A6D.3,WBGene00017280,WBGene00017280,History: N.A.
WBGene00017574,pxmp-4,M00590_2.00,Y44A6D.3,WBGene00017574,WBGene00017574,History: N.A.
WBGene00017576,cdh-8,M00590_2.00,Y44A6D.3,WBGene00017576,WBGene00017576,History: N.A.
WBGene00017935,srbc-70,M00590_2.00,Y44A6D.3,WBGene00017935,WBGene00017935,History: N.A.
WBGene00018099,ztf-28,M00590_2.00,Y44A6D.3,WBGene00018099,WBGene00018099,History: N.A.
WBGene00018139,sre-24,M00590_2.00,Y44A6D.3,WBGene00018139,WBGene00018139,History: N.A.
WBGene00018323,F42A6.1,M00590_2.00,Y44A6D.3,WBGene00018323,WBGene00018323,History: N.A.
WBGene00018398,sptl-2,M00590_2.00,Y44A6D.3,WBGene00018398,WBGene00018398,History: N.A.
WBGene00018490,F46E10.3,M00590_2.00,Y44A6D.3,WBGene00018490,WBGene00018490,History: N.A.
WBGene00018491,mdh-1,M00590_2.00,Y44A6D.3,WBGene00018491,WBGene00018491,History: N.A.
WBGene00018533,F47B7.2,M00590_2.00,Y44A6D.3,WBGene00018533,WBGene00018533,History: N.A.
WBGene00018552,srt-19,M00590_2.00,Y44A6D.3,WBGene00018552,WBGene00018552,History: N.A.
WBGene00018636,oef-1,M00590_2.00,Y44A6D.3,WBGene00018636,WBGene00018636,History: N.A.
WBGene00018647,F49F1.7,M00590_2.00,Y44A6D.3,WBGene00018647,WBGene00018647,History: N.A.
WBGene00018990,klf-1,M00590_2.00,Y44A6D.3,WBGene00018990,WBGene00018990,History: N.A.
WBGene00019109,F59E11.2,M00590_2.00,Y44A6D.3,WBGene00019109,WBGene00019109,History: N.A.
WBGene00019170,H06I04.6,M00590_2.00,Y44A6D.3,WBGene00019170,WBGene00019170,History: N.A.
WBGene00019182,H10E21.1,M00590_2.00,Y44A6D.3,WBGene00019182,WBGene00019182,History: N.A.
WBGene00019183,npr-30,M00590_2.00,Y44A6D.3,WBGene00019183,WBGene00019183,History: N.A.
WBGene00019189,H11L12.1,M00590_2.00,Y44A6D.3,WBGene00019189,WBGene00019189,History: N.A.
WBGene00019317,K02E10.1,M00590_2.00,Y44A6D.3,WBGene00019317,WBGene00019317,History: N.A.
WBGene00019574,K09E3.2,M00590_2.00,Y44A6D.3,WBGene00019574,WBGene00019574,History: N.A.
WBGene00019577,lido-6,M00590_2.00,Y44A6D.3,WBGene00019577,WBGene00019577,History: N.A.
WBGene00019683,K12H6.2,M00590_2.00,Y44A6D.3,WBGene00019683,WBGene00019683,History: N.A.
WBGene00019740,srt-31,M00590_2.00,Y44A6D.3,WBGene00019740,WBGene00019740,History: N.A.
WBGene00019745,srbc-57,M00590_2.00,Y44A6D.3,WBGene00019745,WBGene00019745,History: N.A.
WBGene00019994,cdh-1,M00590_2.00,Y44A6D.3,WBGene00019994,WBGene00019994,History: N.A.
WBGene00020298,T07A9.10,M00590_2.00,Y44A6D.3,WBGene00020298,WBGene00020298,History: N.A.
WBGene00020345,T08B2.4,M00590_2.00,Y44A6D.3,WBGene00020345,WBGene00020345,History: N.A.
WBGene00020349,T08B2.11,M00590_2.00,Y44A6D.3,WBGene00020349,WBGene00020349,History: N.A.
WBGene00020546,zig-13,M00590_2.00,Y44A6D.3,WBGene00020546,WBGene00020546,History: N.A.
WBGene00020722,T23B12.8,M00590_2.00,Y44A6D.3,WBGene00020722,WBGene00020722,History: N.A.
WBGene00020974,W03B1.5,M00590_2.00,Y44A6D.3,WBGene00020974,WBGene00020974,History: N.A.
WBGene00020977,oac-52,M00590_2.00,Y44A6D.3,WBGene00020977,WBGene00020977,History: N.A.
WBGene00021112,W09C3.4,M00590_2.00,Y44A6D.3,WBGene00021112,WBGene00021112,History: N.A.
WBGene00021167,cyp-32B1,M00590_2.00,Y44A6D.3,WBGene00021167,WBGene00021167,History: N.A.
WBGene00021198,npp-26,M00590_2.00,Y44A6D.3,WBGene00021198,WBGene00021198,History: N.A.
WBGene00021199,Y17G9B.2,M00590_2.00,Y44A6D.3,WBGene00021199,WBGene00021199,History: N.A.
WBGene00021415,nsy-4,M00590_2.00,Y44A6D.3,WBGene00021415,WBGene00021415,History: N.A.
WBGene00021755,hpo-38,M00590_2.00,Y44A6D.3,WBGene00021755,WBGene00021755,History: N.A.
WBGene00021801,Y53G8AL.3,M00590_2.00,Y44A6D.3,WBGene00021801,WBGene00021801,History: N.A.
WBGene00021804,Y53G8AM.4,M00590_2.00,Y44A6D.3,WBGene00021804,WBGene00021804,History: N.A.
WBGene00021817,Y53G8B.1,M00590_2.00,Y44A6D.3,WBGene00021817,WBGene00021817,History: N.A.
WBGene00021820,nipa-1,M00590_2.00,Y44A6D.3,WBGene00021820,WBGene00021820,History: N.A.
WBGene00021853,Y54F10AM.11,M00590_2.00,Y44A6D.3,WBGene00021853,WBGene00021853,History: N.A.
WBGene00021883,Y54G2A.18,M00590_2.00,Y44A6D.3,WBGene00021883,WBGene00021883,History: N.A.
WBGene00021884,Y54G2A.19,M00590_2.00,Y44A6D.3,WBGene00021884,WBGene00021884,History: N.A.
WBGene00021890,Y54G2A.26,M00590_2.00,Y44A6D.3,WBGene00021890,WBGene00021890,History: N.A.
WBGene00021898,Y54G2A.36,M00590_2.00,Y44A6D.3,WBGene00021898,WBGene00021898,History: N.A.
WBGene00021918,Y55D5A.4,M00590_2.00,Y44A6D.3,WBGene00021918,WBGene00021918,History: N.A.
