# Note: In the following rows commas have been replaced with semicolons to work better with r
# CSR-1 targets (Claycomb et al.; 2009)
chr,start,end,name,score,strand,Input,Suggested Match,History
chrI,6027193.0,6028373,B0025.4,1,+,B0025.4,WBGene00015001,Public name for WBGene00015001. History: N.A.
chrI,9416695.0,9418869,C17E4.3,2,-,C17E4.3,WBGene00007643,Sequence name for WBGene00007643(marc-3). History: N.A.
chrI,5107843.0,5110167,Y110A7A.10,3,+,Y110A7A.10,WBGene00000001,Sequence name for WBGene00000001(aap-1). History: N.A.
chrI,3983173.0,3986918,F28H1.3,4,+,F28H1.3,WBGene00000197,Sequence name for WBGene00000197(aars-2). History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
chrI,11388737.0,11396651,Y53H1C.1,5,-,Y53H1C.1,WBGene00000010,Sequence name for WBGene00000010(aat-9). History: N.A.
chrI,2472071.0,2485384,Y74C10AR.3,6,-,Y74C10AR.3,WBGene00022281,Sequence name for WBGene00022281(abtm-1). History: N.A.
chrI,8296909.0,8306497,F52B5.1,7,-,F52B5.1,WBGene00009920,Sequence name for WBGene00009920(abts-1). History: N.A.
chrI,6497439.0,6499559,C55B7.4,8,+,C55B7.4,WBGene00016943,Sequence name for WBGene00016943(acdh-1). History: Renamed on 2004-08-25
chrI,6464197.0,6466943,K06A5.6,9,-,K06A5.6,WBGene00019433,Sequence name for WBGene00019433(acdh-3). History: N.A.
chrI,4270646.0,4273336,C43E11.1,10,+,C43E11.1,WBGene00016601,Sequence name for WBGene00016601(acin-1). History: N.A.
chrI,4929099.0,4932148,F28B3.9,11,+,F28B3.9,WBGene00017888,Sequence name for WBGene00017888(acl-11). History: N.A.
chrI,511017.0,516459,Y65B4BL.5,12,-,Y65B4BL.5,WBGene00022037,Sequence name for WBGene00022037(acs-13). History: N.A.
chrI,7773428.0,7777572,H15N14.1,13,+,H15N14.1,WBGene00000079,Sequence name for WBGene00000079(adr-1). History: N.A.
chrI,7246924.0,7248687,R06C7.5,14,-,R06C7.5,WBGene00011064,Sequence name for WBGene00011064(adsl-1). History: N.A.
chrI,2160044.0,2203062,W03F11.6,15,+,W03F11.6,WBGene00021009,Sequence name for WBGene00021009(afd-1). History: N.A.
chrI,13603888.0,13626214,Y6B3A.1,16,-,Y6B3A.1,WBGene00012386,Sequence name for WBGene00012386(agef-1). History: N.A.
chrI,6836388.0,6838141,K02F2.2,17,+,K02F2.2,WBGene00019322,Sequence name for WBGene00019322(ahcy-1). History: Renamed on 2005-02-01; Renamed on 2015-03-05
chrI,8030953.0,8032879,K04G2.2,18,+,K04G2.2,WBGene00045192,"Sequence name for WBGene00045192(aho-3). History: N.A.. Public name for Dead gene WBGene00010561. History of WBGene00010561: Merged into ""WBGene00045192"" on 2012-04-27"
chrI,4655347.0,4659318,B0041.2,19,+,B0041.2,WBGene00015007,Sequence name for WBGene00015007(ain-2). History: N.A.
chrI,5937478.0,5938887,B0207.4,20,+,B0207.4,WBGene00000099,Sequence name for WBGene00000099(air-2). History: N.A.
chrI,4137157.0,4138956,E01A2.6,21,-,E01A2.6,WBGene00017088,Sequence name for WBGene00017088(akir-1). History: N.A.
chrI,7853742.0,7857829,R11A5.1,22,+,R11A5.1,WBGene00000163,Sequence name for WBGene00000163(apb-3). History: N.A.
chrI,14406015.0,14417922,Y105E8A.9,23,+,Y105E8A.9,WBGene00000158,Sequence name for WBGene00000158(apg-1). History: N.A.
chrI,9232059.0,9233555,VF36H2L.1,24,-,VF36H2L.1,WBGene00000147,Sequence name for WBGene00000147(aph-1). History: N.A.
chrI,10340987.0,10345642,ZC434.6,25,+,ZC434.6,WBGene00000148,Sequence name for WBGene00000148(aph-2). History: N.A.
chrI,4964667.0,4967330,W03G9.4,26,-,W03G9.4,WBGene00000155,Sequence name for WBGene00000155(app-1). History: N.A.
chrI,6058450.0,6061035,C27A12.8,27,-,C27A12.8,WBGene00016158,Sequence name for WBGene00016158(ari-1.1). History: N.A.
chrI,2883497.0,2893720,Y71F9AL.16,28,-,Y71F9AL.16,WBGene00000199,Sequence name for WBGene00000199(arx-1). History: N.A.
chrI,3069233.0,3070142,M01B12.3,29,-,M01B12.3,WBGene00000205,Sequence name for WBGene00000205(arx-7). History: N.A.
chrI,9658264.0,9660064,C03D6.5,30,+,C03D6.5,WBGene00007277,Sequence name for WBGene00007277(asfl-1). History: N.A.
chrI,8692937.0,8693463,K07A12.3,31,+,K07A12.3,WBGene00000209,Sequence name for WBGene00000209(asg-1). History: N.A.
chrI,9221818.0,9226379,C45G3.1,32,-,C45G3.1,WBGene00008107,Sequence name for WBGene00008107(aspm-1). History: Renamed on 2006-09-21
chrI,13536954.0,13542402,Y87G2A.3,33,-,Y87G2A.3,WBGene00013595,Sequence name for WBGene00013595(atg-4.1). History: N.A.
chrI,1709098.0,1715570,Y71G12B.12,34,+,Y71G12B.12,WBGene00022152,Sequence name for WBGene00022152(atg-5). History: Renamed on 2008-02-29
chrI,8036937.0,8038907,K04G2.5,35,-,K04G2.5,WBGene00010564,Sequence name for WBGene00010564(ath-1). History: N.A.
chrI,203036.0,208467,Y48G1BL.2,36,+,Y48G1BL.2,WBGene00000227,Sequence name for WBGene00000227(atm-1). History: N.A.
chrI,5428545.0,5429837,F27C1.7,37,-,F27C1.7,WBGene00000230,"Sequence name for WBGene00000230(atp-3). History: N.A.. Public name for Dead gene WBGene00017856. History of WBGene00017856: Merged into ""WBGene00000230"" on 2005-08-31"
chrI,12787932.0,12806571,Y18D10A.1,38,-,Y18D10A.1,WBGene00012474,Sequence name for WBGene00012474(attf-6). History: N.A.
chrI,12773646.0,12782247,B0019.2,39,+,B0019.2,WBGene00007094,Public name for WBGene00007094. History: N.A.
chrI,4647309.0,4648279,B0041.8,40,+,B0041.8,WBGene00015011,Public name for WBGene00015011. History: N.A.
chrI,10713765.0,10717824,B0205.1,41,-,B0205.1,WBGene00015017,Public name for WBGene00015017. History: N.A.
chrI,10736685.0,10739900,B0205.6,42,+,B0205.6,WBGene00015021,Sequence name for WBGene00015021(nfs-1). History: N.A.
chrI,10728883.0,10730226,B0205.8,43,-,B0205.8,WBGene00015022,Public name for WBGene00015022. History: N.A.
chrI,10720814.0,10723580,B0205.9,44,+,B0205.9,WBGene00015023,Public name for WBGene00015023. History: N.A.
chrI,5935371.0,5936946,B0207.6,45,-,B0207.6,WBGene00015029,Public name for WBGene00015029. History: N.A.
chrI,5263696.0,5268387,B0261.1,46,+,B0261.1,WBGene00015091,Public name for WBGene00015091. History: N.A.
chrI,5269546.0,5270937,B0261.7,47,-,B0261.7,WBGene00015095,Public name for WBGene00015095. History: N.A.
chrI,10654287.0,10661591,B0511.12,48,-,B0511.12,WBGene00015237,Public name for WBGene00015237. History: N.A.
chrI,10633179.0,10636006,B0511.13,49,-,B0511.13,WBGene00015238,"Sequence name for WBGene00015238(mppe-1). History: Split into B0511.19(WBGene00255714). History of WBGene00015238: Split into ""WBGene00255714"" on 2015-04-30"
chrI,10624452.0,10628376,B0511.6,50,+,B0511.6,WBGene00015232,Public name for WBGene00015232. History: N.A.
chrI,10631639.0,10633141,B0511.7,51,-,B0511.7,WBGene00015233,Public name for WBGene00015233. History: N.A.
chrI,6563640.0,6564454,F57B10.11,52,-,F57B10.11,WBGene00000236,Sequence name for WBGene00000236(bag-1). History: N.A.
chrI,14647768.0,14651446,Y105E8B.4,53,+,Y105E8B.4,WBGene00013689,Sequence name for WBGene00013689(bath-40). History: N.A.
chrI,4528372.0,4534801,Y119C1B.8,54,-,Y119C1B.8,WBGene00022473,Sequence name for WBGene00022473(bet-1). History: Renamed on 2010-02-04
chrI,6342230.0,6348492,K04F10.4,55,+,K04F10.4,WBGene00000254,Sequence name for WBGene00000254(bli-4). History: N.A.
chrI,7251938.0,7255223,R06C7.8,56,+,R06C7.8,WBGene00000275,Sequence name for WBGene00000275(bub-1). History: N.A.
chrI,5272848.0,5274325,C01G8.1,57,-,C01G8.1,WBGene00015312,Public name for WBGene00015312. History: N.A.
chrI,7229415.0,7233118,C01H6.9,58,-,C01H6.9,WBGene00007258,Sequence name for WBGene00007258(hasp-1). History: N.A.
