#Table S4: Genes depleted of 22G-RNAs in rrf-1, rrf-3 and ergo-1 mutants,,,,,,,
#Total Reads = number of antisense reads (including exon juntions) normalized to the number of perfect genome matches.,,,,,,,,
#Normalized Reads = Total reads normalized to the sample size (reads per million), excluding structural RNA degradation products,,,,,,,
#Enrichment factor = mutant / (wild-type + mutant), using normalized reads,,,,,,,
#Wild-type sample size = 2.06692860050001 million reads,,,,,,,,
#ergo-1 sample size = 2.471996685 million reads,,,,,,,,
#rrf-3 sample size = 2.40395249619999 million reads,,,,,,,,
#rrf-1 sample size = 2.962051767 million reads,,,,,,,,
#Fold Depletion = Wild-type / mutant, using normalized reads,,,,,,,
#rrf-3 (101 genes),,,,,,,,
Cosmid Name,Gene ID,Wild-type Total Reads,Wild-type Normalized Reads,rrf-3 Total Reads,rrf-3 Normalized Reads,Ratio,Fold Depletion,fold change,Input,Suggested Match,History
C40A11.10,C40A11.10,929.5,449.7,0.0,0.0,0.0,Depleted,,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
F55C9.5,F55C9.5,410.0,198.36,0.0,0.0,0.0,Depleted,,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
H09G03.1,H09G03.1,193.83,93.78,0.0,0.0,0.0,Depleted,,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
Y9D1A.1,Y9D1A.1,72.37,35.01,0.0,0.0,0.0,Depleted,,Y9D1A.1,WBGene00021186,Public name for WBGene00021186. History: N.A.
F11D11.12,F11D11.12,59.0,28.54,0.0,0.0,0.0,Depleted,,F11D11.12,WBGene00045362,Public name for WBGene00045362. History: N.A.
W04B5.1,W04B5.1,1254.03,606.71,2.33,0.97,0.0,625.08,0.001599795,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
ZK380.5,ZK380.5,154.5,74.75,0.33,0.14,0.0,539.13,0.00185484,ZK380.5,WBGene00044559,Public name for WBGene00044559. History: N.A.
F55C9.3,F55C9.3,1170.72,566.41,3.54,1.47,0.0,384.96,0.002597672,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
T08B6.2,T08B6.2,394.0,190.62,2.0,0.83,0.0,229.12,0.004364525,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
fbxa-52,F07G6.6,175.92,85.11,1.0,0.42,0.0,204.6,0.004887586,fbxa-52,WBGene00017225,Public name for WBGene00017225. History: N.A.
C44B11.6,C44B11.6,3690.5,1785.5,25.0,10.4,0.01,171.69,0.005824451,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
Y46D2A.1,Y46D2A.1,191.33,92.57,1.5,0.62,0.01,148.35,0.006740816,Y46D2A.1,WBGene00021589,Public name for WBGene00021589. History: N.A.
Y116F11A.1,Y116F11A.1,249.0,120.47,2.0,0.83,0.01,144.8,0.006906077,Y116F11A.1,WBGene00013816,Public name for WBGene00013816. History: N.A.
Y17D7B.4,Y17D7B.4,871.73,421.75,7.07,2.94,0.01,143.38,0.006974473,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
K02E2.6,K02E2.6,2706.5,1309.43,28.41,11.82,0.01,110.8,0.009025271,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
E01G4.5,E01G4.5,2478.5,1199.12,26.5,11.02,0.01,108.78,0.009192866,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
F39E9.7,F39E9.7,789.5,381.97,9.0,3.74,0.01,102.03,0.009801039,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
T25G12.11,T25G12.11,255.67,123.69,3.0,1.25,0.01,99.12,0.010088781,T25G12.11,WBGene00020817,Public name for WBGene00020817. History: N.A.
W04B5.2,W04B5.2,960.0,464.46,15.01,6.24,0.01,74.39,0.013442667,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
K06B9.6,K06B9.6,594.5,287.62,9.5,3.95,0.01,72.78,0.013740038,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
C36A4.11,C36A4.11,556.83,269.4,9.5,3.95,0.01,68.17,0.014669209,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
fbxa-61,Y119D3B.8,143.83,69.59,2.58,1.07,0.02,64.76,0.015441631,fbxa-61,WBGene00022486,Public name for WBGene00022486. History: N.A.
Y37E11B.2,Y37E11B.2,2492.92,1206.1,45.33,18.86,0.02,63.96,0.015634772,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
F55A4.4,F55A4.4,110.5,53.46,3.0,1.25,0.02,42.84,0.02334267,F55A4.4,WBGene00018856,Public name for WBGene00018856. History: N.A.
ZC132.4,ZC132.4,180.0,87.09,5.0,2.08,0.02,41.87,0.023883449,ZC132.4,,Sequence name for Suppressed gene WBGene00022523. Molecular name for Suppressed gene WBGene00022523. Public name for Suppressed gene WBGene00022523. History of WBGene00022523: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
fbxa-46,F52D2.8,306.26,148.17,8.79,3.65,0.02,40.54,0.024666996,fbxa-46,WBGene00018690,Public name for WBGene00018690. History: N.A.
ZK402.3,ZK402.3,266.28,128.83,8.08,3.36,0.03,38.31,0.026102845,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
ZK402.2,ZK402.2,111.95,54.16,4.08,1.7,0.03,31.89,0.031357792,ZK402.2,WBGene00022729,Public name for WBGene00022729. History: N.A.
F52D2.6,F52D2.6,289.77,140.19,10.61,4.41,0.03,31.76,0.031486146,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
B0001.6,B0001.6,424.33,205.3,16.0,6.66,0.03,30.85,0.032414911,B0001.6,WBGene00007091,Sequence name for WBGene00007091(eri-12). History: N.A.
Y60A3A.27,Y60A3A.27,83.0,40.16,5.0,2.08,0.05,19.31,0.051786639,Y60A3A.27,,Sequence name for Suppressed gene WBGene00045512. Molecular name for Suppressed gene WBGene00045512. Public name for Suppressed gene WBGene00045512. History of WBGene00045512: Killed on 2011-05-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
mps-2,K01A2.8,203.85,98.62,13.3,5.53,0.05,17.83,0.05608525,mps-2,WBGene00019282,Public name for WBGene00019282. History: N.A.
Y17D7C.1,Y17D7C.1,78.67,38.06,7.0,2.91,0.07,13.07,0.076511094,Y17D7C.1,WBGene00012455,"Public name for WBGene00012455. History: Split into Y17D7C.6(WBGene00194680). History of WBGene00012455: Split into ""WBGene00194680"" on 2009-06-15"
H37A05.4,H37A05.4,62.46,30.22,5.93,2.47,0.08,12.24,0.081699346,H37A05.4,WBGene00044200,Public name for WBGene00044200. History: N.A.
ZK402.5,ZK402.5,257.83,124.74,32.99,13.72,0.1,9.09,0.110011001,ZK402.5,WBGene00022731,Public name for WBGene00022731. History: N.A.
E01G4.7,E01G4.7,1373.5,664.51,190.0,79.04,0.11,8.41,0.118906064,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
Y116A8B.1,Y116A8B.1,489.79,236.96,73.2,30.45,0.11,7.78,0.128534704,Y116A8B.1,WBGene00013779,Public name for WBGene00013779. History: N.A.
Y24F12A.3,Y24F12A.3,131.56,63.65,21.93,9.12,0.13,6.98,0.143266476,Y24F12A.3,WBGene00012498,Public name for WBGene00012498. History: N.A.
F39F10.4,F39F10.4,1046.5,506.31,179.13,74.51,0.13,6.79,0.147275405,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
