gene_id,gene_name,chr,start,end,strand,mean of normalized counts for all samples,log2 fold change (MLE): group pid4.pid5 vs N2,BH adjusted p-values,WT_new_rep1_RppH.robustRPKM,WT_new_rep2_RppH.robustRPKM,WT_new_rep3_RppH.robustRPKM,WT_old_rep1_RppH.robustRPKM,WT_old_rep2_RppH.robustRPKM,WT_old_rep3_RppH.robustRPKM,WT_control_REP1_RppH.robustRPKM,WT_control_REP2_RppH.robustRPKM,WT_control_REP3_RppH.robustRPKM,WT_control_REP4_RppH.robustRPKM,RFK1050_mut_REP1_RppH.robustRPKM,RFK1050_mut_REP2_RppH.robustRPKM,RFK1050_mut_REP3_RppH.robustRPKM,Input,Suggested Match,History
WBGene00008862,F15D4.5,II,13245348.0,13247774.0,+,5242.29609775926,-3.75437668635425,1.85371419899409e-165,3620.67599113598,3461.0610694591,4089.61280189501,4337.45094992205,3856.12131564999,4062.28035421696,4658.79356311343,4264.9837226052,4954.00336248188,4004.74379133206,290.797445798988,318.577310096614,313.814553661538,WBGene00008862,WBGene00008862,History: N.A.
WBGene00016906,C53D5.5,I,305811.0,311130.0,-,226.645009965057,5.80783381319874,2.8684595017159903e-151,8.59877318949913,5.91065105967094,6.40182431467863,7.3704389913471,12.113650449159,6.17932019431095,9.77904690948943,4.82731307595342,7.71529566756265,6.43496178822488,401.585112585635,433.177260088873,391.473053849739,WBGene00016906,WBGene00016906,History: N.A.
WBGene00016631,C44B7.11,II,6894179.0,6897540.0,-,406.609561999095,7.18861722223379,1.14509010169983e-147,5.24862302729542,6.53427717521045,5.01306877551554,5.1302761703439,4.49698205190807,3.19516574891523,4.0840887269261,4.03212605427079,0.920625857434536,2.91783119955469,730.203960635838,706.840005725506,471.795552245575,WBGene00016631,WBGene00016631,History: N.A.
WBGene00013382,gcl-1,IV,13408606.0,13412895.0,-,326.42622820598,9.05419181954782,9.19942787671107e-130,0.0,2.8107001084545,1.49286239270867,0.381941516358323,1.25547637708371,1.46384856143741,1.21621759882726,2.40148684114657,0.0,1.82929045792515,817.738532639394,853.980280992128,646.846952363482,WBGene00013382,WBGene00013382,History: N.A.
WBGene00004140,ebax-1,IV,10286955.0,10293013.0,+,258.576961538831,3.44575864966573,3.20579100430032e-100,16.6868322339543,15.0153866615616,17.6217785938897,18.1213249018025,13.6686268861744,16.4824378651121,12.9624462898483,14.2424040828129,11.7821158623461,13.0501277377586,175.355517548711,176.047657127378,133.912342580886,WBGene00004140,WBGene00004140,History: Renamed on 2013-07-10
WBGene00006822,unc-93,III,3644375.0,3648822.0,+,71.7248381456362,4.21123384215612,8.04831608797784e-99,7.95810424729343,6.65500285050302,8.31497920225234,6.38203985948208,7.72886335047191,6.43687681518897,7.48718159684512,5.80793769064363,6.02765428597438,6.63614191988182,131.869898566969,132.994773552508,116.220096593913,WBGene00006822,WBGene00006822,History: N.A.
WBGene00009274,F30F8.5,I,7847246.0,7848920.0,-,116.671786411843,7.00878473679807,1.30098072183904e-96,3.26993655255082,5.58619311742939,6.92305844468379,5.31369157622519,2.4952265365004,3.63670101901986,0.0,3.57966932062349,0.0,4.54458380987668,633.697235517625,544.759711475352,442.354043073633,WBGene00009274,WBGene00009274,History: N.A.
WBGene00008403,csa-1,II,9317551.0,9319627.0,-,187.191760672828,6.58820843563568,3.84662935287281e-95,5.12607144656239,7.18532879194051,9.99150180312753,9.51992701718724,2.31798983948352,7.09460859157737,6.73651871466792,4.15675540503916,5.69448939453144,3.48296903188949,607.081951625884,662.86337583464,520.087712642845,WBGene00008403,WBGene00008403,History: N.A.
WBGene00001854,hil-3,X,8159153.0,8160084.0,+,627.511314594314,-4.37733664817421,1.09335323299292e-90,819.762280935434,809.70646752109,969.077068095184,1034.85333596182,958.533070382208,800.079200286106,1045.61985180635,947.593300287861,1202.31427543224,992.864604301451,47.1972078075478,42.2466252177429,60.4012504652994,WBGene00001854,WBGene00001854,History: Renamed on 2010-11-12
WBGene00003704,nhr-114,V,4187185.0,4190008.0,+,266.465381689412,8.5095193277581,1.13452202513127e-86,1.01840026571641,2.14127158407417,1.8481209334963,0.945665340892389,0.0,0.906101320213532,7.52821296543269,3.71621500775608,5.09097718951933,3.1138377235683,820.841685981919,845.900182023324,663.009759862029,WBGene00003704,WBGene00003704,History: N.A.
WBGene00020895,T28D9.3,II,6485677.0,6488861.0,+,80.8429760668504,6.78422265057049,2.34475826144286e-83,0.376152643773257,1.97723084552478,0.910153696995618,1.39715013860951,0.382713260001182,1.33869724350472,2.22447483973785,1.64712930314952,3.76076989312235,2.71845565649396,166.693367544037,172.870848187548,171.738858041285,WBGene00020895,WBGene00020895,History: N.A.
WBGene00003252,mig-21,III,5877020.0,5878419.0,-,183.546620128442,5.78093076942398,5.84518202078953e-83,19.4705752459207,10.6136877873584,20.5023434313557,16.7407147133114,11.0056492724097,16.0403295406125,10.6615023396275,7.3680977483429,7.20987377300251,8.01788451171613,726.61178996807,810.018186071119,634.101893696941,WBGene00003252,WBGene00003252,History: N.A.
WBGene00007060,wht-6,III,6471720.0,6475246.0,+,239.505178612337,3.93218417541443,4.36844896663355e-80,30.3860503492986,25.3427190804722,46.3196662519893,28.2158554247121,25.5572470015482,23.7911362680381,27.5533373449784,31.9336874106733,31.055048646673,32.8836962400327,483.995981063365,486.848098305948,411.059725748067,WBGene00007060,WBGene00007060,History: Renamed on 2007-06-04
WBGene00010083,xhd-1,IV,14401114.0,14412894.0,-,263.444454464862,8.5532157945114,1.3990830126208498e-78,1.69635336679261,0.594454096806149,0.570078218154295,0.875110285374546,0.191771120895899,0.0,2.22929319679143,0.275116182042303,0.0,1.36217200404824,284.426780917516,318.210848235412,251.791807219455,WBGene00010083,WBGene00010083,History: N.A.
WBGene00002198,kin-14,I,7075918.0,7079566.0,-,109.182956009273,5.34151572977709,4.566488149062209e-76,7.22053011089856,8.75871195826082,10.0794680699196,11.8623992087686,9.04180433841091,9.88357326587526,8.2116252062663,5.67500294659602,1.85104560696944,3.70528620413775,320.657778347253,308.564727859367,347.510669565337,WBGene00002198,WBGene00002198,History: N.A.
WBGene00013736,Y111B2A.13,III,12624766.0,12625890.0,+,495.101621147743,-5.89053967415915,1.84258740496542e-75,1170.52711949749,1042.70252712294,1188.32760923557,1241.72520913946,994.485973917007,1013.70952447473,900.738576224261,868.271726259328,939.27099826849,879.409677079295,19.5038055117066,11.3477152575683,40.5604109173565,WBGene00013736,WBGene00013736,History: N.A.
WBGene00014166,ZK945.4,II,10102975.0,10105704.0,-,223.522930456456,2.93067139012462,7.061124554873671e-74,48.0547571311835,56.0217007877095,60.44006673761,59.2023272889412,64.3837168735646,43.1790858778305,56.2740779627484,54.1691393913062,76.1110368649402,58.1905518693566,450.711498299005,457.903258201075,362.049718957023,WBGene00014166,WBGene00014166,History: N.A.
WBGene00008051,lron-4,II,8108941.0,8112163.0,-,147.926786057168,3.96585010213942,3.46899861552772e-71,14.8826619211243,23.8918948178342,24.5748510158747,13.4462246005469,18.8254824534326,14.3151908627469,13.0829282947294,17.6133703603354,22.7886816636145,16.323622196195,268.467411919133,292.509445887252,292.474519298524,WBGene00008051,WBGene00008051,History: N.A.
WBGene00012712,ttm-1,III,12952969.0,12966995.0,-,262.516080319971,5.94314687913608,4.77867231875801e-70,7.88405843291196,14.7350143011457,16.1621000875052,10.5747387168917,12.47799340326,13.6396627704403,6.47561048145161,3.83593200129453,4.37915151984381,7.54838087168443,703.399618940443,654.803788581853,540.680712533408,WBGene00012712,WBGene00012712,History: N.A.
WBGene00010581,K05C4.4,I,14735236.0,14736945.0,+,377.175168382307,2.89952037908183,1.28432461994744e-68,164.588065114478,117.25481212791,122.171843541866,138.277530288778,104.891716899262,120.155033883527,108.742399382751,128.478621641511,114.525431433513,116.300062939343,989.432758144977,1020.27853240037,703.437426752629,WBGene00010581,WBGene00010581,History: N.A.
WBGene00013310,Y57G11C.14,IV,14799311.0,14801063.0,+,105.476961899944,6.92622206906974,2.27822413340819e-65,3.80631739652939,3.00116254219872,6.33181651536866,0.883616825208077,1.93635238717488,2.53994622810768,5.62740779627484,8.33371375250865,15.8564660135292,6.34806020392981,598.369485581512,639.263818331276,450.55076136874,WBGene00013310,WBGene00013310,History: N.A.
WBGene00009270,F30F8.1,I,7832692.0,7835453.0,-,272.780186316511,1.83205031130537,5.20435401432907e-63,87.8837952006081,77.9441875696356,73.8928075143149,74.9902781719267,78.0237589492531,76.3814361164576,80.2661458636775,77.7590617905398,81.4203422961601,79.9815245624536,272.00083503011,299.961498720453,246.727854884847,WBGene00009270,WBGene00009270,History: N.A.
WBGene00003685,nhr-95,V,19076654.0,19082641.0,-,99.0454227976439,3.45359987223882,2.39934364203141e-60,13.1621815854777,13.63380324101,18.031435958991,18.6926671535368,16.1488726150375,19.9772274266752,13.7361046455784,15.821560365201,9.03105296133878,11.8365853159863,157.389829450623,168.493658382025,189.839965779036,WBGene00003685,WBGene00003685,History: N.A.
WBGene00018356,islo-1,IV,8136325.0,8139087.0,+,248.118914143578,6.65887938894806,1.9183895674243802e-58,3.6304957816897,8.7239091292876,10.0394172034166,12.0400107143418,6.33225701183413,12.9206447859853,3.06712358697629,6.05619992787163,0.0,3.45990301181075,670.536958564227,717.170236390305,780.546159365565,WBGene00018356,WBGene00018356,History: N.A.
WBGene00003637,nhr-47,V,5505253.0,5509956.0,+,322.810941493155,4.64589109160195,9.40599155174556e-58,49.3980953729596,25.7661672018124,24.5946845820599,25.0521018667557,24.743220023599,17.5803879634637,23.5949754835075,17.7483976537334,25.3272615800767,17.7443837141386,666.357940679803,698.015450743611,514.040724483916,WBGene00003637,WBGene00003637,History: Renamed on 2005-12-15
WBGene00010043,F54C9.7,II,8573355.0,8575045.0,+,90.0660774316052,6.04928088176935,2.38550292906702e-57,5.09958012125716,5.36114648235872,12.7798278877213,3.38240300998255,5.18852376861138,3.88907115485138,2.15411935643451,4.25342413538891,7.28364922556347,4.04996399056917,388.496906756848,426.3860652973,271.019006157555,WBGene00010043,WBGene00010043,History: N.A.
WBGene00010460,clec-142,II,8278686.0,8281035.0,+,50.9798851548812,6.66677909115588,9.297557373895808e-57,1.41618409464,0.992548431677537,1.99888185352835,0.438346381643308,2.40147380145407,0.840014364369145,0.0,0.0,4.71966420583528,1.04971941889376,114.193958325662,114.216859839093,175.615088378162,WBGene00010460,WBGene00010460,History: N.A.
