ProbeName,Fold change([1] vs Zero),Regulation([1] vs Zero),[1](normalized),Common name,gene,Description,GenbankAccession,ControlType,fold change,Input,Suggested Match,History,Input,Suggested Match,History
A_12_P103817,5.836514,up,2.545107,4R79.1,4R79.1,Zinc-binding metalloprotease domain [4R79.1],,FALSE,2.545107,,,,,,
A_12_P115498,2.8646011,up,1.5183343,AC3.3,AC3.3,,,FALSE,1.5183343,,,,,,
A_12_P109700,2.5855494,up,1.3704709,AC3.5.2,AC3.5.2,glutamyl aminopeptidase [AC3.5.2],,FALSE,1.3704709,,,,,,
A_12_P117525,5.169827,up,2.370116,AC3.6,AC3.6,collagen [AC3.6],,FALSE,2.370116,,,,,,
A_12_P100124,2.4874377,up,1.3146604,A_12_P100124,A_12_P100124,,,FALSE,1.3146604,,,,,,
A_12_P100152,2.1210537,up,1.0847812,A_12_P100152,A_12_P100152,,,FALSE,1.0847812,,,,,,
A_12_P100404,5.2266455,up,2.3858852,A_12_P100404,A_12_P100404,,,FALSE,2.3858852,,,,,,
A_12_P100924,5.445509,up,2.445067,A_12_P100924,A_12_P100924,,,FALSE,2.445067,,,,,,
A_12_P100979,2.1496851,up,1.1041254,A_12_P100979,A_12_P100979,,,FALSE,1.1041254,,,,,,
A_12_P103575,2.8206816,up,1.4960438,A_12_P103575,A_12_P103575,,,FALSE,1.4960438,,,,,,
A_12_P105854,5.3608603,up,2.4224646,A_12_P105854,A_12_P105854,,,FALSE,2.4224646,,,,,,
A_12_P107108,2.9455736,up,1.5585486,A_12_P107108,A_12_P107108,,,FALSE,1.5585486,,,,,,
A_12_P107516,7.6007233,up,2.9261367,A_12_P107516,A_12_P107516,,,FALSE,2.9261367,,,,,,
A_12_P108315,2.9838629,up,1.5771812,A_12_P108315,A_12_P108315,,,FALSE,1.5771812,,,,,,
A_12_P109768,2.4004927,up,1.2633306,A_12_P109768,A_12_P109768,,,FALSE,1.2633306,,,,,,
A_12_P110201,4.6859913,up,2.2283542,A_12_P110201,A_12_P110201,,,FALSE,2.2283542,,,,,,
A_12_P110887,3.718084,up,1.8945594,A_12_P110887,A_12_P110887,,,FALSE,1.8945594,,,,,,
A_12_P111219,2.0703578,up,1.0498801,A_12_P111219,A_12_P111219,,,FALSE,1.0498801,,,,,,
A_12_P111406,3.168007,up,1.6635755,A_12_P111406,A_12_P111406,,,FALSE,1.6635755,,,,,,
A_12_P111694,3.045577,up,1.6067156,A_12_P111694,A_12_P111694,,,FALSE,1.6067156,,,,,,
A_12_P112908,5.292776,up,2.4040246,A_12_P112908,A_12_P112908,,,FALSE,2.4040246,,,,,,
A_12_P114047,2.2856905,up,1.19263,A_12_P114047,A_12_P114047,,,FALSE,1.19263,,,,,,
A_12_P114239,2.1317961,up,1.0920695,A_12_P114239,A_12_P114239,,,FALSE,1.0920695,,,,,,
A_12_P114389,2.377174,up,1.2492474,A_12_P114389,A_12_P114389,,,FALSE,1.2492474,,,,,,
A_12_P114606,2.6851761,up,1.4250168,A_12_P114606,A_12_P114606,,,FALSE,1.4250168,,,,,,
A_12_P115182,3.1327827,up,1.6474447,A_12_P115182,A_12_P115182,,,FALSE,1.6474447,,,,,,
A_12_P115237,4.5923395,up,2.1992292,A_12_P115237,A_12_P115237,,,FALSE,2.1992292,,,,,,
A_12_P115562,2.380589,up,1.2513186,A_12_P115562,A_12_P115562,,,FALSE,1.2513186,,,,,,
A_12_P115747,4.003028,up,2.0010917,A_12_P115747,A_12_P115747,,,FALSE,2.0010917,,,,,,
A_12_P116815,2.572897,up,1.3633937,A_12_P116815,A_12_P116815,,,FALSE,1.3633937,,,,,,
A_12_P116834,3.92231,up,1.9717036,A_12_P116834,A_12_P116834,,,FALSE,1.9717036,,,,,,
A_12_P117663,2.2323112,up,1.1585382,A_12_P117663,A_12_P117663,,,FALSE,1.1585382,,,,,,
A_12_P119038,2.5555027,up,1.353607,A_12_P119038,A_12_P119038,,,FALSE,1.353607,,,,,,
A_12_P102986,2.5320563,up,1.3403095,B0024.1,B0024.1,collagen [B0024.1],,FALSE,1.3403095,,,,,,
A_12_P103108,2.5709198,up,1.3622845,B0024.2,B0024.2,collagen [B0024.2],,FALSE,1.3622845,,,,,,
A_12_P116115,2.2328346,up,1.1588763,B0034.1,B0034.1,,,FALSE,1.1588763,,,,,,
A_12_P109420,10.040987,up,3.3278291,B0205.4,B0205.4,,,FALSE,3.3278291,,,,,,
A_12_P115167,2.6571658,up,1.4098883,B0213.17,B0213.17,,,FALSE,1.4098883,,,,,,
A_12_P102036,2.8698053,up,1.5209528,B0213.5,B0213.5,,,FALSE,1.5209528,,,,,,
A_12_P116585,2.6738856,up,1.4189377,B0213.6,B0213.6,,,FALSE,1.4189377,,,,,,
A_12_P104392,3.2566855,up,1.7034044,B0222.6,B0222.6,,,FALSE,1.7034044,,,,,,
A_12_P111884,2.8008912,up,1.485886,B0222.7,B0222.7,,,FALSE,1.485886,,,,,,
A_12_P111190,2.714601,up,1.4407402,B0222.8,B0222.8,,,FALSE,1.4407402,,,,,,
A_12_P100683,2.4557645,up,1.2961723,B0238.12,B0238.12,,,FALSE,1.2961723,,,,,,
A_12_P113034,3.0947652,up,1.62983,B0252.5,B0252.5,,,FALSE,1.62983,,,,,,
A_12_P108067,2.2856758,up,1.1926208,B0273.4b,B0273.4b,axon guidance protein [B0273.4b],,FALSE,1.1926208,,,,,,
A_12_P118778,6.1769767,up,2.626901,B0280.7,B0280.7,,,FALSE,2.626901,,,,,,
A_12_P114861,2.757219,up,1.4632139,B0284.2,B0284.2,,,FALSE,1.4632139,,,,,,
A_12_P118401,4.583346,up,2.1964011,B0285.9,B0285.9,choline kinase [B0285.9],,FALSE,2.1964011,,,,,,
A_12_P106146,6.0072513,up,2.586705,B0304.3.1,B0304.3.1,Cytochrome P450 [B0304.3.1],,FALSE,2.586705,,,,,,
A_12_P108936,2.6003475,up,1.3787044,B0304.7,B0304.7,"7TM chemoreceptor, sra family [B0304.7]",,FALSE,1.3787044,,,,,,
A_12_P118615,3.2432296,up,1.6974312,B0331.2,B0331.2,phosphate permease like [B0331.2],,FALSE,1.6974312,,,,,,
A_12_P103830,3.4992666,up,1.8070526,B0334.13,B0334.13,,,FALSE,1.8070526,,,,,,
A_12_P115782,2.5479908,up,1.3493601,B0334.6,B0334.6,Gonadotropin-releasing hormone receptor like protein [B0334.6],,FALSE,1.3493601,,,,,,
A_12_P106464,2.5766153,up,1.3654772,B0336.11a,B0336.11a,,,FALSE,1.3654772,,,,,,
A_12_P104505,2.302344,up,1.2031034,B0344.2,B0344.2,,,FALSE,1.2031034,,,,,,
A_12_P104149,2.423304,up,1.2769755,B0348.2,B0348.2,,,FALSE,1.2769755,,,,,,
A_12_P107434,6.1626225,up,2.6235445,B0348.5,B0348.5,,,FALSE,2.6235445,,,,,,
A_12_P118023,2.2461166,up,1.1674328,B0393.4,B0393.4,,,FALSE,1.1674328,,,,,,
A_12_P115147,5.642167,up,2.4962494,B0393.5,B0393.5,EGF-like aspartic acid and asparagine hydroxylation sites [B0393.5],,FALSE,2.4962494,,,,,,
A_12_P103871,8.44582,up,3.0782375,B0395.2,B0395.2,Sterol O-acyltransferase [B0395.2],,FALSE,3.0782375,,,,,,
A_12_P120398,2.1580315,up,1.1097159,B0403.2,B0403.2,ubiquitin-conjugating enzyme [B0403.2],,FALSE,1.1097159,,,,,,
