Gene name,log2FoldChange,Adjusted p-value,Input,Suggested Match,History
WBGene00010590,5.108097497,7.16e-14,WBGene00010590,WBGene00010590,History: N.A.
WBGene00044474,4.359023397,7.8100000000000015e-22,WBGene00044474,WBGene00044474,History: N.A.
WBGene00017114,3.958788917,7.92e-21,WBGene00017114,WBGene00017114,History: N.A.
WBGene00044475,3.886752245,1.09e-21,WBGene00044475,WBGene00044475,History: N.A.
WBGene00018125,3.859023012,3.94e-25,WBGene00018125,WBGene00018125,History: N.A.
WBGene00194644,3.830539303,1.47e-43,WBGene00194644,WBGene00194644,History: N.A.
WBGene00015259,3.818155771,2.64e-09,WBGene00015259,WBGene00015259,History: N.A.
WBGene00012754,3.734309502,6.35e-33,WBGene00012754,WBGene00012754,History: N.A.
WBGene00017179,3.731521616,9.34e-32,WBGene00017179,WBGene00017179,History: N.A.
WBGene00002204,3.670073769,8.410000000000001e-36,WBGene00002204,WBGene00002204,History: N.A.
WBGene00014100,3.652373648,2.1e-29,WBGene00014100,WBGene00014100,History: N.A.
WBGene00011114,3.644735255,8.35e-34,WBGene00011114,WBGene00011114,History: N.A.
WBGene00002206,3.638594884,1.1e-50,WBGene00002206,WBGene00002206,History: N.A.
WBGene00008661,3.638554641,5.799999999999999e-42,WBGene00008661,WBGene00008661,History: N.A.
WBGene00011260,3.636739995,1.94e-35,WBGene00011260,WBGene00011260,History: N.A.
WBGene00011027,3.621609138,1.4299999999999996e-34,WBGene00011027,WBGene00011027,History: N.A.
WBGene00016440,3.612596162,2e-36,WBGene00016440,WBGene00016440,History: N.A.
WBGene00012741,3.569076148,2.14e-15,WBGene00012741,WBGene00012741,History: N.A.
WBGene00013978,3.567823162,2.98e-23,WBGene00013978,WBGene00013978,History: N.A.
WBGene00020282,3.565905167,3.49e-16,WBGene00020282,WBGene00020282,History: N.A.
WBGene00012660,3.565625777,2.8000000000000004e-22,WBGene00012660,WBGene00012660,History: N.A.
WBGene00020070,3.561840003,2.72e-24,WBGene00020070,WBGene00020070,History: N.A.
WBGene00020217,3.550921404,3.65e-08,WBGene00020217,WBGene00020217,History: N.A.
WBGene00012177,3.529906049,9.79e-27,WBGene00012177,WBGene00012177,History: N.A.
WBGene00008186,3.522384277,1.4599999999999998e-23,WBGene00008186,WBGene00008186,History: N.A.
WBGene00012307,3.513949387,5.43e-19,WBGene00012307,WBGene00012307,History: N.A.
WBGene00013107,3.504068448,1.6800000000000002e-35,WBGene00013107,WBGene00013107,History: N.A.
WBGene00022709,3.479237973,3.8299999999999997e-28,WBGene00022709,WBGene00022709,History: N.A.
WBGene00021381,3.473152964,4.27e-29,WBGene00021381,WBGene00021381,History: N.A.
WBGene00014201,3.470211111,1.82e-33,WBGene00014201,WBGene00014201,"History: Split into ZK1053.7(WBGene00044786). History of WBGene00014201: Split into ""WBGene00044786"" on 2006-03-16"
WBGene00007448,3.441612082,8.610000000000001e-32,WBGene00007448,WBGene00007448,History: N.A.
WBGene00013142,3.441252158,3.79e-22,WBGene00013142,WBGene00013142,History: N.A.
WBGene00007082,3.436022207,1.42e-30,WBGene00007082,WBGene00007082,History: N.A.
WBGene00017035,3.429653247,8.840000000000001e-29,WBGene00017035,WBGene00017035,History: N.A.
WBGene00011171,3.403670219,1.02e-21,WBGene00011171,WBGene00011171,History: N.A.
WBGene00219905,3.392301451,9.25e-27,WBGene00219905,WBGene00219905,History: N.A.
WBGene00010871,3.390714163,5.28e-29,WBGene00010871,WBGene00010871,History: N.A.
WBGene00013771,3.388581395,6.69e-34,WBGene00013771,WBGene00013771,History: N.A.
WBGene00017026,3.377330106,3.04e-22,WBGene00017026,WBGene00017026,History: N.A.
WBGene00012115,3.371751279,6.120000000000001e-21,WBGene00012115,WBGene00012115,History: N.A.
WBGene00007601,3.353101656,6.52e-25,WBGene00007601,WBGene00007601,History: N.A.
WBGene00018123,3.346262709,4.41e-52,WBGene00018123,WBGene00018123,History: N.A.
WBGene00013424,3.340005023,1.88e-32,WBGene00013424,WBGene00013424,History: N.A.
WBGene00007791,3.336256529,6.34e-35,WBGene00007791,WBGene00007791,History: N.A.
WBGene00021908,3.334900737,4.990000000000001e-21,WBGene00021908,WBGene00021908,History: N.A.
WBGene00019643,3.330919396,1.3700000000000002e-21,WBGene00019643,WBGene00019643,History: N.A.
WBGene00004962,3.315000428,2.18e-25,WBGene00004962,WBGene00004962,History: N.A.
WBGene00012595,3.28497633,9.35e-31,WBGene00012595,WBGene00012595,History: N.A.
WBGene00007224,3.280944528,2.14e-15,WBGene00007224,WBGene00007224,History: N.A.
WBGene00013651,3.275493676,2.11e-25,WBGene00013651,WBGene00013651,History: N.A.
WBGene00013449,3.274309857,4.18e-12,WBGene00013449,WBGene00013449,History: N.A.
WBGene00011133,3.273761767,1.2500000000000001e-21,WBGene00011133,WBGene00011133,History: N.A.
WBGene00009039,3.26564182,1.05e-11,WBGene00009039,WBGene00009039,History: N.A.
WBGene00009115,3.26561543,1.0600000000000001e-29,WBGene00009115,WBGene00009115,History: N.A.
WBGene00020072,3.264039794,2.8199999999999997e-42,WBGene00020072,WBGene00020072,History: N.A.
WBGene00012138,3.260499841,8.580000000000001e-27,WBGene00012138,WBGene00012138,History: N.A.
WBGene00019165,3.24807728,1.27e-23,WBGene00019165,WBGene00019165,History: N.A.
WBGene00012781,3.247668279,9.64e-30,WBGene00012781,WBGene00012781,History: N.A.
WBGene00007049,3.24636688,2.64e-30,WBGene00007049,WBGene00007049,History: N.A.
WBGene00021287,3.245203471,1.5e-33,WBGene00021287,WBGene00021287,History: N.A.
WBGene00018783,3.239319061,2.5600000000000004e-32,WBGene00018783,WBGene00018783,History: N.A.
WBGene00010510,3.238737284,3.8900000000000005e-37,WBGene00010510,WBGene00010510,History: N.A.
WBGene00045416,3.222881952,3.16e-11,WBGene00045416,WBGene00045416,History: N.A.
WBGene00012087,3.221692455,1.19e-39,WBGene00012087,WBGene00012087,History: N.A.
WBGene00018839,3.212169158,2.06e-18,WBGene00018839,WBGene00018839,History: N.A.
WBGene00018580,3.211665172,7.019999999999999e-23,WBGene00018580,WBGene00018580,History: N.A.
WBGene00006487,3.210091876,1.94e-17,WBGene00006487,WBGene00006487,History: Renamed on 2017-06-08
WBGene00012924,3.20547243,1.14e-18,WBGene00012924,WBGene00012924,History: N.A.
WBGene00013801,3.202555359,1.16e-24,WBGene00013801,WBGene00013801,History: N.A.
WBGene00021912,3.202136524,1.54e-23,WBGene00021912,WBGene00021912,History: Renamed on 2019-10-15
WBGene00018000,3.200329827,1.43e-15,WBGene00018000,WBGene00018000,History: N.A.
WBGene00021998,3.198892881,8.659999999999999e-23,WBGene00021998,WBGene00021998,History: N.A.
WBGene00010014,3.198149597,1.11e-10,WBGene00010014,WBGene00010014,"History: Split into F54B3.4(WBGene00175034). History of WBGene00010014: Split into ""WBGene00175034"" on 2008-12-09"
WBGene00022467,3.196078253,4.16e-21,WBGene00022467,WBGene00022467,History: N.A.
WBGene00019190,3.195061965,3.58e-25,WBGene00019190,WBGene00019190,History: N.A.
WBGene00002186,3.191775128,1.56e-28,WBGene00002186,WBGene00002186,History: N.A.
WBGene00007563,3.189999305,2.97e-24,WBGene00007563,WBGene00007563,History: N.A.
WBGene00000023,3.188332239,7.08e-30,WBGene00000023,WBGene00000023,History: N.A.
WBGene00008811,3.182654415,3.95e-20,WBGene00008811,WBGene00008811,History: N.A.
WBGene00022228,3.182428925,1.35e-27,WBGene00022228,WBGene00022228,History: N.A.
WBGene00020053,3.178718809,1.09e-26,WBGene00020053,WBGene00020053,History: N.A.
WBGene00020388,3.178281936,1.19e-24,WBGene00020388,WBGene00020388,History: N.A.
WBGene00014996,3.176885267,1.17e-12,WBGene00014996,WBGene00014996,History: N.A.
