target_name,gene,description,KOG,remarks,Mountain,fL3s446,eL3s82,FC,fL3s364,eL3s125,FC.1,fL4s660,eL4s408,FC.2,fL4s1165,eL4s377,FC.3,fADs1711,eADs213,FC.4,fADs547,eADs598,FC.5,fL3m1612,eL3m951,FC.6,fL3m4134,eL3m1037,FC.7,fL4m1857,eL4m1318,FC.8,fL4m3713,eL4m3494,FC.9,fADm2498,eADm2449,FC.10,fADm2040,eADm2527,FC.11,fADm981,eADm599,FC.12,fADm631,eADm765,FC.13,Input,Suggested Match,History
B0001.2,B0001.2,,Uncharacterized protein with ubiquitin fold ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,24,0,5.56,26,6,1.46,41,5,4.42,57,3,4.88,80,4,20.12,52,0,57.68,1,26,0.04,101,31,0.81,121,103,0.84,379,633,0.56,755,679,1.09,650,707,1.14,309,239,0.8,196,417,0.57,B0001.2,WBGene00007087,Public name for WBGene00007087. History: N.A.
B0001.7,B0001.7,,,sRNA_DOWN in ego-1_AND_mRNA_UP in ego-1,Mountain 7,84,0,18.92,89,4,6.84,95,4,12.12,174,0,58.84,169,0,211.13,46,1,25.58,0,0,0.6,12,7,0.41,5,16,0.25,58,67,0.82,123,322,0.38,86,370,0.29,32,29,0.68,29,50,0.71,B0001.7,WBGene00007092,Public name for WBGene00007092. History: N.A.
B0024.10,B0024.10,,,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 2,28,26,0.24,29,15,0.71,44,4,5.68,114,3,9.67,102,1,63.96,54,0,59.86,26,0,16.08,70,20,0.86,31,26,0.85,143,89,1.51,221,221,0.98,186,222,1.04,86,85,0.63,64,46,1.67,B0024.10,WBGene00007100,Sequence name for WBGene00007100(asps-1). History: N.A.
B0035.11,B0035.11,,Uncharacterized conserved protein ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 2,18,10,0.38,15,1,3.04,60,1,19.25,90,3,7.65,91,4,22.85,19,0,21.77,91,6,7.83,225,55,1.03,110,66,1.18,377,276,1.28,615,785,0.77,561,863,0.8,281,212,0.82,153,211,0.88,B0035.11,WBGene00007110,Sequence name for WBGene00007110(leo-1). History: N.A.
B0035.12,B0035.12,,RNA-binding protein SART3 (RRM superfamily) ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,28,0,6.45,33,1,6.46,65,2,13.88,113,0,38.33,114,3,35.71,68,0,75.1,51,60,0.51,204,75,0.69,156,120,0.93,530,348,1.43,536,782,0.67,494,879,0.7,240,127,1.16,139,198,0.85,B0035.12,WBGene00007111,Sequence name for WBGene00007111(sart-3). History: N.A.
B0035.6,B0035.6,,Unnamed protein ,sRNA_DOWN in ego-1_AND_mRNA_UP in ego-1,Mountain 2,72,8,1.81,61,12,1.81,163,8,11.5,205,7,8.66,256,10,29.02,66,3,18.23,13,19,0.42,62,33,0.47,55,67,0.59,158,193,0.77,337,545,0.61,288,640,0.56,123,93,0.82,110,147,0.9,B0035.6,WBGene00007109,Sequence name for WBGene00007109(edg-1). History: N.A.
B0041.2b,B0041.2,"ain-2 encodes, by alternative splicing, three isoforms of an unfamiliar protein paralogous to AIN-1, and homologous to Brugia malayi 14748.m00068, 14052.m00191, and 14963.m01790; AIN-2 protein binds GEI-4 and GEI-16 in yeast two-hybrid experiments; AIN-2 and its nematode homologs have weak similarity to human TNRC6A (GW182; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=610739"">OMIM:610739</a>) and Drosophila GAWKY; ain-2 has no obvious function in mass RNAi assays. ",Unnamed protein ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 1,88,15,1.24,77,29,0.99,164,23,4.34,340,6,16.38,379,7,58.99,140,3,38.36,217,56,2.28,656,126,1.32,216,117,1.31,487,629,0.73,453,597,0.74,339,590,0.71,216,98,1.36,112,218,0.62,B0041.2b,WBGene00015007,Molecule name for WBGene00015007(ain-2). History: N.A.
B0205.3,rpn-10,"rpn-10 encodes a protein that contains two ubiquitin interaction motifs and is a member of the von Willebrand factor, type A superfamily similar to the mouse 26S proteasome non-ATP regulatory subunit 4. ","26S proteasome regulatory complex, subunit RPN10/PSMD4 ",sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 2,24,12,0.43,12,14,0.33,63,4,8.08,114,0,38.67,151,0,188.78,54,1,29.93,109,138,0.47,448,95,1.19,290,180,1.15,416,540,0.73,696,547,1.25,565,531,1.32,215,184,0.72,181,146,1.49,B0205.3,WBGene00004466,Sequence name for WBGene00004466(rpn-10). History: N.A.
B0205.6,B0205.6,,Cysteine desulfurase NFS1 ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,15,1,1.78,10,2,1.39,50,0,32.18,52,0,17.82,171,5,35.6,32,0,35.92,51,38,0.79,218,73,0.75,118,50,1.66,174,222,0.74,99,147,0.66,90,168,0.67,35,18,1.17,36,35,1.24,B0205.6,WBGene00015021,Sequence name for WBGene00015021(nfs-1). History: N.A.
B0205.7,kin-3,"kin-3 encodes an ortholog of the catalytic subunit of casein kinase II alpha, which in Drosophila and mammals is required for normal circadian rhythms, and which directly phosphorylates the Drosophila PERIOD protein (which itself regulates circadian rhythms); by analogy, KIN-3 might be expected to help regulate heterochronic functions dependent on such proteins as LIN-42. ","Casein kinase II, alpha subunit ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain ,21,2,1.63,23,8,1.01,40,3,6.47,119,4,8.07,59,3,18.63,19,0,21.77,126,33,2.22,436,137,0.81,181,150,0.86,574,365,1.48,222,296,0.74,197,297,0.82,136,54,1.54,71,75,1.14,B0205.7,WBGene00002191,Sequence name for WBGene00002191(kin-3). History: N.A.
B0240.4,npp-22,"npp-22 encodes a nuclear pore complex protein that inhibits DHC-1 in vivo, and that is required for normal nuclear pore complexes; NPP-22 is orthologous to human TMEM48 and budding yeast NDC1; npp-22(RNAi) suppresses the lethality of conditional dhc-1 mutations, as well as the spindle length and cytokinesis defects of dhc-1(or195), indicating that NPP-22 negatively regulates dynein; npp-22(tm1845) mutants have rudimentary nuclear pore complexes, and are poorly viable; NPP-22 has an N-terminal domain predicted to contain five transmembrane helices; in early embryos, NPP-22 is associated with nuclear envelopes and the vicinity of mitotic centrosomes; npp-22 is required for normally large embryonic pronuclei in mass RNAi assays. ",Uncharacterized conserved protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 11,40,4,1.83,39,8,1.69,67,9,4.29,95,2,10.76,155,7,24.22,37,6,5.91,6,0,4.17,37,16,0.57,25,43,0.42,121,56,2.01,167,245,0.67,131,305,0.53,80,37,1.32,42,65,0.79,B0240.4,WBGene00007118,Sequence name for WBGene00007118(npp-22). History: Renamed on 2008-01-28
B0261.1,B0261.1,,"Transcription initiation factor TFIIIB, Bdp1 subunit ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,49,8,1.24,35,8,1.52,55,8,3.93,141,1,23.87,107,5,22.36,44,4,9.8,51,1,15.48,159,58,0.69,105,71,1.05,315,224,1.32,380,439,0.85,311,489,0.79,161,111,0.89,107,147,0.88,B0261.1,WBGene00015091,Public name for WBGene00015091. History: N.A.
B0261.2a,let-363,"let-363 encodes, by alternative splicing, two large (>2600-residue) proteins with C-terminal similarity to phosphatidylinositol kinase (PIK); LET-363 proteins are orthologous to S. cerevisiae Tor1p and Tor2p and human FRAP1 (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=601231"">OMIM:601231</a>, mammalian target of FKBP12-rapamycin); LET-363 proteins are required for progression through the L3 stage of larval development and are thought to generally stimulate translation of most or all mRNAs ('global translation'); LET-363 activity is also necessary for normal development and physiology of the intestine; LET-363 proteins are expressed ubiquitously, including a maternal contribution to the early embryo. ",DNA-dependent protein kinase ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 4,29,4,1.34,26,1,5.13,44,5,4.73,79,4,5.38,133,4,33.28,43,2,15.96,143,47,1.79,427,144,0.75,252,123,1.46,613,297,1.94,362,353,1.01,327,392,1.03,88,53,1.02,75,65,1.39,B0261.2a,WBGene00002583,Molecule name for WBGene00002583(let-363). History: Renamed on 2014-09-04; Renamed on 2014-10-09; Renamed on 2015-01-08; Renamed on 2015-03-05; Renamed on 2015-03-10
B0261.6b,B0261.6,,,sRNA_UP in ego-1_AND_mRNA_inconsistent,Mountain 4,7,14,0.12,4,16,0.11,13,112,0.08,19,75,0.09,13,150,0.12,1,240,0.01,0,0,0.6,0,0,0.25,0,0,0.71,2,0,2.82,0,0,0.98,0,1,0.62,0,0,0.62,0,0,1.21,B0261.6b,WBGene00015094,Molecule name for WBGene00015094(B0261.6). History: N.A.
B0261.7,B0261.7,,Unnamed protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,28,0,6.45,10,1,2.09,34,1,11.04,48,1,8.24,75,3,23.6,28,0,31.56,0,0,0.6,30,12,0.61,19,38,0.37,137,94,1.37,165,267,0.61,124,263,0.59,79,44,1.1,68,43,1.89,B0261.7,WBGene00015095,Public name for WBGene00015095. History: N.A.
