# GenomeVersion=C_elegans_May_2008, TotalTreatObs=4186549, TotalCtrlObs=1836221
Name,Chr,Strand,Start,Stop,pVal [10*Log10(p)] ,Bonferroni  pvalue [10*Log10(p)] ,Storey's qValFDR [10*Log10(q)] ,Fold Change (WT+1)/(K39A+1),WT actual antisense reads,WT normalized antisense read count,K39A antisense reads,WT mean read length,K39A mean read length,Input,Suggested Match,History
K02E2.6,chrV,+,20375969,20377425,-705.5,-672.1,-684.2,19.6,163,372,18,22.0,22.0,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
Y37E11B.2,chrIV,+,3578441,3579386,-472.9,-439.5,-454.6,36.6,96,219,5,21.0,24.0,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
C44B11.6,chrIII,+,3152726,3153450,-451.6,-418.2,-435.1,41.2,90,205,4,21.0,22.0,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
C40A11.10,chrII,-,2136555,2137301,-268.2,-234.8,-246.9,34.4,60,137,3,24.0,26.0,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
F18H3.3a,chrX,-,13522189,13527336,-232.6,-199.2,-214.4,5.2,109,249,47,18.0,19.0,F18H3.3a,WBGene00003903,Molecule name for WBGene00003903(pab-2). History: N.A.
T16A1.8,chrII,-,2091744,2093850,-199.9,-166.5,-183.4,33.8,44,100,2,20.0,22.0,T16A1.8,WBGene00020537,"Sequence name for WBGene00020537(fbxb-37). History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
F15E6.1,chrIV,+,4307752,4316759,-190.4,-157.0,-175.1,2.7,135,308,113,21.0,22.0,F15E6.1,WBGene00017482,Sequence name for WBGene00017482(set-9). History: N.A.
T05A7.4,chrII,+,4672786,4673724,-188.7,-155.3,-174.4,2.4,154,351,143,19.0,20.0,T05A7.4,WBGene00001976,Sequence name for WBGene00001976(hmg-11). History: N.A.
Y116F11A.1,chrV,+,19725978,19727555,-184.5,-151.1,-171.0,40.4,35,80,1,23.0,22.0,Y116F11A.1,WBGene00013816,Public name for WBGene00013816. History: N.A.
W04B5.2,chrIII,+,2424343,2427460,-173.1,-139.8,-160.3,26.9,35,80,2,20.0,22.0,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
