gene,N_0MM,ID_0MM,N_1MM,ID_1MM,N_2MM,ID_2MM,N_3MM,ID_3MM,number of 22G-RNA reads at target sites in wild-type,number of 22G-RNA reads at target sites in prg-1,number of 22G-RNA reads matching transcript in wild-type,number of 22G-RNA reads matching transcript in prg-1,Input,Suggested Match,History
B0513.7,5,"21UR-15839,21UR-3071,21UR-15715,21UR-11163,21UR-3549",1,21UR-15723,3,"21UR-13797,21UR-15742,21UR-15811",15,"21UR-12992,21UR-10031,21UR-9364,21UR-5529,21UR-15761,21UR-9982,21UR-5542,21UR-15825,21UR-11005,21UR-6174,21UR-5735,21UR-15888,21UR-1174,21UR-15762,21UR-14289",1433,496.0,5405,2656,B0513.7,WBGene00007199,Public name for WBGene00007199. History: N.A.
B0280.6,3,"21UR-15839,21UR-3071,21UR-3549",0,,0,,0,,1398,492.0,4935,2437,B0280.6,WBGene00023224,Public name for WBGene00023224. History: N.A.
D1054.4,3,"21UR-15839,21UR-3071,21UR-3549",0,,0,,0,,1398,492.0,5040,2663,D1054.4,,"Public name for Dead gene WBGene00014725. History of WBGene00014725: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
H28G03.5,3,"21UR-3071,21UR-15839,21UR-3549",0,,0,,0,,1398,492.0,5171,2696,H28G03.5,WBGene00023313,Public name for WBGene00023313. History: N.A.
Y57E12AL.3,3,"21UR-3071,21UR-15839,21UR-3549",0,,1,21UR-15811,2,"21UR-9364,21UR-5735",1398,492.0,5364,2746,Y57E12AL.3,WBGene00023382,Public name for WBGene00023382. History: N.A.
Y68A4A.4,3,"21UR-3071,21UR-15839,21UR-3549",0,,0,,0,,1398,492.0,5075,2651,Y68A4A.4,,"Public name for Dead gene WBGene00014942. History of WBGene00014942: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
C45H4.5,2,"21UR-15715,21UR-3549",2,"21UR-15839,21UR-3071",4,"21UR-15836,21UR-15811",4,"21UR-15836,21UR-9364,21UR-5735",1198,424.0,5258,2686,C45H4.5,WBGene00005709,Sequence name for WBGene00005709(sru-46). History: N.A.
Y102A5C.35,0,,0,,0,,1,21UR-774,215,1.0,637,8,Y102A5C.35,WBGene00044220,Public name for WBGene00044220. History: N.A.
Y38H8A.8,3,"21UR-15715,21UR-15839,21UR-3549",0,,1,21UR-3071,3,"21UR-9364,21UR-15811,21UR-5735",943,315.0,6508,2981,Y38H8A.8,WBGene00045062,Public name for WBGene00045062. History: N.A.
F28D9.4a,4,"21UR-15746,21UR-15738,21UR-15745,21UR-15973",6,"21UR-15745,21UR-15982,21UR-15738,21UR-15717,21UR-15728",11,"21UR-15789,21UR-15893,21UR-15944,21UR-15825,21UR-13797,21UR-12681,21UR-11360,21UR-2821,21UR-12679,21UR-15824,21UR-11382",47,"21UR-12250,21UR-7505,21UR-5439,21UR-9547,21UR-8205,21UR-8072,21UR-8974,21UR-8803,21UR-2057,21UR-7761,21UR-12936,21UR-11429,21UR-11821,21UR-2018,21UR-12644,21UR-7504,21UR-13638,21UR-15728,21UR-11296,21UR-12856,21UR-5589,21UR-14636,21UR-15903,21UR-13787,21UR-15093,21UR-15346,21UR-13744,21UR-7884,21UR-7281,21UR-11953,21UR-15757,21UR-15733,21UR-10502,21UR-15738,21UR-14764,21UR-2632,21UR-15062,21UR-15790,21UR-11744,21UR-12600,21UR-12591,21UR-14290,21UR-9190,21UR-15890,21UR-8814",164,8.0,1768,43,,,
